onset	duration	trial_type	value	sample
55.078	0.0	item	162	55078
55.997	0.0	item	162	55997
56.916	0.0	item	162	56916
57.852	0.0	item	162	57852
58.571	0.0	item	162	58571
59.357	0.0	item	162	59357
60.243	0.0	item	162	60243
60.962	0.0	item	162	60962
61.848	0.0	item	162	61848
62.433	0.0	item	162	62433
63.202	0.0	item	162	63202
63.871	0.0	item	162	63871
64.573	0.0	item	162	64573
65.325	0.0	item	162	65325
65.943	0.0	item	162	65943
66.629	0.0	item	162	66629
67.398	0.0	item	162	67398
68.033	0.0	item	162	68033
68.936	0.0	item	162	68936
69.855	0.0	item	162	69855
70.942	0.0	yes_probe	167	70942
72.346	0.0	item_post_probe	163	72346
73.048	0.0	item	162	73048
74.051	0.0	item	162	74051
74.686	0.0	item	162	74686
75.305	0.0	item	162	75305
76.224	0.0	item	162	76224
76.893	0.0	item	162	76893
77.545	0.0	item	162	77545
78.297	0.0	item	162	78297
79.217	0.0	item	162	79217
79.936	0.0	item	162	79936
80.638	0.0	item	162	80638
81.373	0.0	item	162	81373
82.226	0.0	item	162	82226
83.045	0.0	item	162	83045
83.948	0.0	item	162	83948
84.767	0.0	item	162	84767
85.502	0.0	item	162	85502
86.372	0.0	item	162	86372
87.191	0.0	item	162	87191
87.976	0.0	no_probe	166	87976
89.548	0.0	item_post_probe	163	89548
90.317	0.0	item	162	90317
90.935	0.0	item	162	90935
91.704	0.0	item	162	91704
92.49	0.0	item	162	92490
93.175	0.0	item	162	93175
93.944	0.0	no_probe	166	93944
95.432	0.0	item_post_probe	163	95432
96.251	0.0	item	162	96251
96.803	0.0	item	162	96803
97.572	0.0	item	162	97572
98.475	0.0	item	162	98475
99.461	0.0	item	162	99461
100.18	0.0	item	162	100180
100.865	0.0	item	162	100865
101.617	0.0	item	162	101617
102.37	0.0	item	162	102370
103.022	0.0	item	162	103022
103.991	0.0	item	162	103991
104.727	0.0	no_probe	166	104727
105.696	0.0	item_post_probe	163	105696
106.432	0.0	item	162	106432
107.167	0.0	item	162	107167
107.97	0.0	item	162	107970
108.638	0.0	item	162	108638
109.341	0.0	item	162	109341
110.026	0.0	item	162	110026
110.828	0.0	item	162	110828
111.564	0.0	item	162	111564
112.567	0.0	item	162	112567
113.186	0.0	item	162	113186
114.021	0.0	item	162	114021
114.707	0.0	item	162	114707
115.66	0.0	item	162	115660
116.429	0.0	item	162	116429
117.097	0.0	item	162	117097
117.983	0.0	item	162	117983
118.652	0.0	item	162	118652
119.354	0.0	item	162	119354
120.223	0.0	yes_probe	167	120223
121.176	0.0	item_post_probe	163	121176
121.995	0.0	item	162	121995
122.814	0.0	item	162	122814
123.383	0.0	item	162	123383
124.052	0.0	item	162	124052
124.887	0.0	item	162	124887
125.74	0.0	item	162	125740
126.475	0.0	item	162	126475
127.278	0.0	item	162	127278
127.963	0.0	item	162	127963
128.849	0.0	item	162	128849
129.635	0.0	item	162	129635
130.404	0.0	item	162	130404
131.29	0.0	item	162	131290
132.193	0.0	item	162	132193
