name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
MEG 001	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 002	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 003	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 004	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 005	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 006	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 007	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 008	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 009	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 010	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 011	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 012	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 013	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 014	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 015	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 016	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 017	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 018	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 019	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 020	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 021	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 022	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 023	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 024	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 025	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 026	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 027	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 028	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 029	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 030	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 031	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
MEG 032	MEGGRADAXIAL	T	0.0	200.0	Axial Gradiometer	1000.0	good	n/a
