ch,name,type,unit,min,Q1,median,Q3,max
0,IASX+,ias,V,-2419.544311761856,-1.1920928955078125e-06,-1.1920928955078125e-06,0.0,2366.0759615898132
1,IASX-,ias,V,-2344.8368203639984,-1.1920928955078125e-06,-1.1920928955078125e-06,0.0,1446.729280948639
2,IASY+,ias,V,-2093.834043741226,-1.1920928955078125e-06,-1.1920928955078125e-06,0.0,2267.334725856781
3,IASY-,ias,V,-2404.439934492111,-1.1920928955078125e-06,-1.1920928955078125e-06,0.0,1892.5588726997375
4,IASZ+,ias,V,-1757.3755621910095,-1.1920928955078125e-06,0.0,0.0,2488.9161467552185
5,IASZ-,ias,V,-2449.357316493988,-1.1920928955078125e-06,0.0,0.0,2190.7331442832947
6,IAS_DX,ias,V,-2390.2414965629578,-1.1920928955078125e-06,0.0,0.0,2022.573721408844
7,IAS_DY,ias,V,-2493.959711790085,0.0,0.0,0.0,2360.5894827842712
8,IAS_X,ias,V,-1950.6403875350952,-1.1920928955078125e-06,0.0,0.0,2329.0681779384613
9,IAS_Y,ias,V,-2222.064310312271,-1.1920928955078125e-06,0.0,0.0,2506.5363466739655
10,IAS_Z,ias,V,-2533.142297267914,-1.1920928955078125e-06,0.0,0.0,2444.5816671848297
11,MEG0111,mag,T,-5.395384449712284e-06,-7.86399840730555e-13,-1.2683868398879919e-14,8.599662774440585e-13,3.978998879731356e-06
12,MEG0112,grad,T/m,-0.00039767147003962413,-5.973815904024727e-12,-5.973815904024727e-13,4.978179920020606e-12,7.916706773360499e-05
13,MEG0113,grad,T/m,-0.0003554646370708211,-6.969451888028848e-12,-1.9912719680082423e-13,6.770324691228024e-12,0.00042627608887315456
14,MEG0121,mag,T,-4.384675632248413e-06,-6.798553461799636e-13,5.0735473595519675e-15,7.483482355339152e-13,5.22319232638762e-06
15,MEG0122,grad,T/m,-0.00033201271582124106,-5.973815904024727e-12,3.9825439360164847e-13,6.770324691228024e-12,0.00033286624627426587
16,MEG0123,grad,T/m,-0.00027101625609423366,-5.17730711682143e-12,0.0,5.17730711682143e-12,0.0004192417043940297
17,MEG0131,mag,T,-4.239461896603046e-06,-7.128334040170514e-13,-7.610321039327951e-15,7.76252746011451e-13,4.204865511607266e-06
18,MEG0132,grad,T/m,-0.0002988321052190645,-6.3720702976263754e-12,0.0,6.3720702976263754e-12,0.00042189859983842007
19,MEG0133,grad,T/m,-0.00036490046328475803,-4.978179920020606e-12,-1.9912719680082423e-13,4.7790527232197816e-12,0.00035715010243325045
20,MEG0141,mag,T,-5.274962905115435e-06,-8.143043512080908e-13,-2.2830963117983854e-14,8.827972405620423e-13,4.969067471532909e-06
21,MEG0142,grad,T/m,-0.00039928076148331647,-5.5755615104230785e-12,-3.9825439360164847e-13,4.978179920020606e-12,3.725035373156255e-05
22,MEG0143,grad,T/m,-0.0004224823694919036,-6.3720702976263754e-12,-1.9912719680082423e-13,6.3720702976263754e-12,0.000400469659770794
23,MEG0211,mag,T,-5.259993834882603e-06,-6.392669673035479e-13,1.2683868398879919e-14,7.382011408148113e-13,5.274278009199954e-06
24,MEG0212,grad,T/m,-0.0004251201674433576,-4.978179920020606e-12,-1.9912719680082423e-13,4.579925526418957e-12,0.00040015093219966907
25,MEG0213,grad,T/m,-0.00039593880057955716,-5.5755615104230785e-12,0.0,5.5755615104230785e-12,0.00036858566192804205
26,MEG0221,mag,T,-3.885206089444616e-06,-5.809211726687003e-13,7.356643671350353e-14,8.016204828092109e-13,5.297187860905831e-06
27,MEG0222,grad,T/m,-0.0003948642287825964,-5.376434313622254e-12,0.0,5.5755615104230785e-12,0.00028345938685895124
28,MEG0223,grad,T/m,-0.00026247141815031175,-6.969451888028848e-12,5.973815904024727e-13,7.168579084829672e-12,0.0004142979635226958
29,MEG0231,mag,T,-4.710004378289952e-06,-6.138992305057881e-13,7.356643671350353e-14,8.396720880058506e-13,4.63990510998134e-06
30,MEG0232,grad,T/m,-0.000387474348492839,-5.376434313622254e-12,0.0,5.376434313622254e-12,0.0003401610498987484
31,MEG0233,grad,T/m,-0.00042679036831226174,-4.181671132817309e-12,0.0,4.380798329618133e-12,0.00025597254683979776
32,MEG0241,mag,T,-4.0272553597412046e-06,-6.823921198597396e-13,1.2683868398879919e-14,7.83863067050779e-13,4.71178042681541e-06
33,MEG0242,grad,T/m,-0.00015834401416744327,-5.17730711682143e-12,-1.9912719680082423e-13,4.579925526418957e-12,0.0004045582851366166
34,MEG0243,grad,T/m,-0.0004087723654154764,-5.376434313622254e-12,0.0,5.17730711682143e-12,0.00040785350292219885
35,MEG0311,mag,T,-5.405290142511247e-06,-5.682373042698204e-13,2.2830963117983854e-14,6.443405146630999e-13,4.425896020382634e-06
36,MEG0312,grad,T/m,-0.0002937666838907087,-4.978179920020606e-12,0.0,4.978179920020606e-12,0.00036467135350593487
37,MEG0313,grad,T/m,-0.00035998312429019356,-5.376434313622254e-12,1.9912719680082423e-13,5.5755615104230785e-12,0.0002471622771215931
38,MEG0321,mag,T,-3.882086928336985e-06,-5.530166621911645e-13,7.356643671350353e-14,7.661056512923471e-13,5.336985910479087e-06
39,MEG0322,grad,T/m,-0.0002702482396211118,-4.978179920020606e-12,1.9912719680082423e-13,5.17730711682143e-12,0.0003471489148795382
40,MEG0323,grad,T/m,-0.0003394813491251885,-3.982543936016485e-12,0.0,4.181671132817309e-12,0.00026279794593198975
41,MEG0331,mag,T,-4.5312744666171275e-06,-5.073547359551967e-13,1.2683868398879919e-13,8.371353143260746e-13,2.4409413767229506e-06
42,MEG0332,grad,T/m,-0.0003812360839055021,-3.982543936016485e-12,-1.9912719680082423e-13,3.7834167392156604e-12,0.0003893399600485429
43,MEG0333,grad,T/m,-0.000323451690628364,-4.579925526418957e-12,-1.9912719680082423e-13,4.181671132817309e-12,0.000384939354536659
44,MEG0341,mag,T,-4.0469096099670835e-06,-6.062889094664601e-13,1.5220642078655902e-14,6.925392145788436e-13,5.379394990171272e-06
45,MEG0342,grad,T/m,-0.0004072060754899332,-4.579925526418957e-12,-1.9912719680082423e-13,4.380798329618133e-12,0.00024199041075716982
46,MEG0343,grad,T/m,-0.0004244662942637315,-5.376434313622254e-12,1.9912719680082423e-13,5.774688707223903e-12,0.0003544616986942559
47,MEG0411,mag,T,-5.294260944117974e-06,-5.200386043540767e-13,1.3698577870790312e-13,8.701133721631624e-13,5.406298461850258e-06
48,MEG0412,grad,T/m,-0.0003764541844598768,-4.380798329618133e-12,-1.9912719680082423e-13,3.982543936016485e-12,0.0003726185509940985
49,MEG0413,grad,T/m,-0.0002953016150661725,-4.579925526418957e-12,-1.9912719680082423e-13,4.181671132817309e-12,0.0004217203935422967
50,MEG0421,mag,T,-4.008221076708473e-06,-4.540824886799011e-13,1.7503738390454288e-13,8.827972405620423e-13,4.6837043568706845e-06
51,MEG0422,grad,T/m,-0.00029547185189362547,-5.17730711682143e-12,0.0,4.978179920020606e-12,0.0003788992314664987
52,MEG0423,grad,T/m,-0.0003903535119046976,-4.380798329618133e-12,0.0,4.579925526418957e-12,0.00038201510952395347
53,MEG0431,mag,T,-5.371303471069401e-06,-4.71839904438333e-13,1.8011093126409485e-13,9.107017510395782e-13,3.6894674628604346e-06
54,MEG0432,grad,T/m,-0.0002340556268584548,-4.579925526418957e-12,0.0,4.579925526418957e-12,0.00022327672832404447
55,MEG0433,grad,T/m,-0.0003389978969656724,-4.181671132817309e-12,0.0,4.181671132817309e-12,0.00036773520002511995
56,MEG0441,mag,T,-5.3925812209355054e-06,-5.479431148316125e-13,1.3698577870790312e-13,9.030914300002502e-13,3.9931861873457454e-06
57,MEG0442,grad,T/m,-0.00036631324645254186,-4.579925526418957e-12,-1.9912719680082423e-13,4.181671132817309e-12,0.00040758115147782726
58,MEG0443,grad,T/m,-0.0003723735474798083,-4.7790527232197816e-12,-1.9912719680082423e-13,4.579925526418957e-12,0.00028685563023481283
59,MEG0511,mag,T,-5.4037446613455434e-06,-5.454063411518365e-13,3.0441284157311805e-14,6.037521357866841e-13,2.164580099860811e-06
60,MEG0512,grad,T/m,-0.00033185501146217316,-3.7834167392156604e-12,1.9912719680082423e-13,4.181671132817309e-12,0.0002536300851867877
