,delta (0.5-4 Hz),theta (4-8 Hz),alpha (8-12 Hz),beta (12-30 Hz),gamma (30-100 Hz)
MEG0112,1.633631283586253e-24,2.655573149127688e-25,2.3045994240719824e-25,1.3431809578566192e-25,4.56192578594194e-26
MEG0113,2.4696225531282904e-24,5.261877652509522e-25,3.5240547586972647e-25,2.21577112028297e-25,4.9378974496598787e-26
MEG0122,2.5502710106813626e-24,4.884766388119194e-25,2.274590728511201e-25,1.2850822486359933e-25,3.801708945972741e-26
MEG0123,9.524425721954429e-25,2.31523159917996e-25,1.6266485795872247e-25,9.646019885257941e-26,5.176289082530443e-26
MEG0132,2.0917755574624885e-24,4.795169534926041e-25,3.210889891804343e-25,1.4721547379589062e-25,4.14552251775694e-26
MEG0133,1.3075320664415514e-24,2.6147893066477334e-25,2.23302267019591e-25,1.0178131241500319e-25,4.577463464444109e-26
MEG0142,1.0006336527140856e-24,2.3280125234672395e-25,1.9359617260045756e-25,1.0866579411283702e-25,4.2057587191060276e-26
MEG0143,2.259002763657802e-24,5.134326022016255e-25,3.8899679271898994e-25,2.503700604381728e-25,4.278870925433673e-26
MEG0212,7.263789473814548e-25,2.374435100831797e-25,2.611620732607571e-25,9.436548805898511e-26,4.2305694737133786e-26
MEG0213,1.411804156183752e-24,3.6567215025253863e-25,2.145646095898805e-25,1.0240389263680641e-25,3.9574118633778903e-26
MEG0222,1.2122251173597698e-24,3.5681879142819857e-25,1.9099266732495304e-25,1.0764354321184602e-25,3.641576527045778e-26
MEG0223,5.964634523613779e-25,3.436802933307343e-25,3.1735715501805128e-25,2.2313379946234936e-25,1.4159779315643133e-25
MEG0232,1.0132742856413638e-24,3.659277551249802e-25,2.5820758864492853e-25,1.2429908501893077e-25,3.853241493274936e-26
MEG0233,6.031129089907254e-25,2.2687642766195863e-25,2.435048662908484e-25,8.145551693402214e-26,3.433195518477335e-26
MEG0242,1.1157255601264386e-24,4.0023482783449473e-25,3.8684930927517096e-25,1.280481346355685e-25,4.055952212073637e-26
MEG0243,1.0073091710923443e-24,2.9682444487267368e-25,2.3199384248709146e-25,1.1309529498915902e-25,3.927107277732241e-26
MEG0312,9.075436067163371e-25,2.8915203298325914e-25,1.5950115676777103e-25,1.007872321900163e-25,4.9796273648789844e-26
MEG0313,1.4380569556485878e-24,2.9021841959844655e-25,1.3099205995752163e-25,8.881884164469508e-26,3.940221053790589e-26
MEG0322,1.0990623768665763e-24,2.8650290230541896e-25,1.5081301709098688e-25,8.897570323133904e-26,3.128664229275552e-26
MEG0323,3.8495484313861766e-25,1.730135702396213e-25,1.2491307700076721e-25,7.297673767933412e-26,3.669591778724761e-26
MEG0332,3.707319097622706e-25,1.585105729010629e-25,1.1849927217116645e-25,6.552022209740674e-26,2.881336290956229e-26
MEG0333,6.21639723898698e-25,2.099517078374297e-25,1.2396980757462328e-25,7.626828443799866e-26,3.392965448946035e-26
MEG0342,5.6384373913724415e-25,2.2262044043773903e-25,1.543209345098416e-25,8.406831747302902e-26,4.231233948464761e-26
MEG0343,1.7878157682562746e-24,3.843455208696433e-25,1.8037695235851318e-25,1.0439905645198345e-25,4.0471189058479374e-26
MEG0412,3.3549325052518416e-25,1.6508509759446102e-25,1.5422343375258547e-25,7.141633002958842e-26,3.748094474095197e-26
MEG0413,6.70442056128603e-25,2.5167322786609272e-25,1.5627550934509746e-25,9.058172762301941e-26,3.4631600657435954e-26
MEG0422,5.271151803077195e-25,2.2818678690193994e-25,1.6473563812988252e-25,1.135205149521733e-25,5.644478274974206e-26
MEG0423,3.0414000587595567e-25,1.60846299111738e-25,1.300908644956719e-25,7.632027815345451e-26,4.555283561186373e-26
MEG0432,5.393019376930942e-25,2.3681876166073247e-25,1.8188592530070246e-25,1.1141072335630963e-25,4.869891005546812e-26
MEG0433,3.472653458716962e-25,1.6982608452344536e-25,1.332047406770348e-25,8.406081998542396e-26,3.5025571748553486e-26
MEG0442,4.604796079099153e-25,1.9919417012001647e-25,1.9608098979557724e-25,9.29648566046773e-26,4.076045822892114e-26
MEG0443,6.836700497105543e-25,2.861959725134372e-25,2.1531589881053334e-25,1.1329797394654995e-25,4.123636225581463e-26
MEG0512,7.987765149581012e-25,2.1660252105467027e-25,1.1580046538603826e-25,7.028357527823889e-26,3.051538849232431e-26
MEG0513,6.055023983960761e-25,1.7048692701227978e-25,1.0900484445809483e-25,7.280056155479319e-26,3.218624498710708e-26
