,delta (0.5-4 Hz),theta (4-8 Hz),alpha (8-12 Hz),beta (12-30 Hz),gamma (30-100 Hz)
MEG0111,1.5429555423151383e-26,2.8880535218227473e-27,2.0007826415704856e-27,6.413803595389285e-28,6.650088854852797e-29
MEG0121,1.1666584582434909e-26,2.692047263042569e-27,1.6424567122079015e-27,3.5996740649682674e-28,5.210040172156863e-29
MEG0131,8.857300559244315e-27,2.57345538675524e-27,1.7663418713121446e-27,3.534100927100626e-28,6.904788299311718e-29
MEG0141,1.3172755141750436e-26,2.5919884885237517e-27,1.961221035621993e-27,6.305825366487113e-28,8.12268319415323e-29
MEG0211,5.711621849526769e-27,2.1383600500529764e-27,1.561606442962466e-27,3.1915836011632167e-28,6.021286103483332e-29
MEG0221,5.381078947808954e-27,1.527077937281799e-27,1.1566241955080366e-27,7.602443350155952e-28,4.238291790994616e-29
MEG0231,5.25953225141454e-27,1.68947974364129e-27,1.4030491751857917e-27,6.1372182450877115e-28,5.001580964464653e-29
MEG0241,5.307202964799935e-27,2.1903303843355784e-27,1.8264459454227695e-27,3.4004027508249977e-28,7.075822234312405e-29
MEG0311,4.988669853161693e-27,1.5504356001471093e-27,1.1624250568905836e-27,4.464296976186193e-28,3.976189968105118e-29
MEG0321,5.228577266266019e-27,1.3434811479057382e-27,9.875924986463822e-28,1.0244086285450152e-27,3.657807188708764e-29
MEG0331,5.062144734657225e-27,1.10222549912264e-27,7.323633031776991e-28,2.0721919787789498e-27,3.453620433587434e-29
MEG0341,6.103278747318197e-27,1.9275698959059276e-27,1.3622370304534559e-27,3.4369192909120292e-28,4.609893613572005e-29
MEG0411,5.320790019920734e-27,1.2693676045925412e-27,8.63389123301333e-28,1.760490560582246e-27,3.6844723411238267e-29
MEG0421,5.353667674874084e-27,1.3018899544051629e-27,7.568772677171291e-28,3.0673654993286318e-27,4.108094791439836e-29
MEG0431,5.296615528705493e-27,1.3834862212943436e-27,9.10473511651563e-28,2.6895409030852984e-27,4.0125010386118824e-29
MEG0441,5.3557410047480165e-27,1.3909997470091232e-27,1.038482226737315e-27,1.4729211282905886e-27,3.7027268020563956e-29
MEG0511,4.442106156498403e-27,1.3069070668862798e-27,9.600564103385466e-28,9.95403660429828e-28,3.339426239173493e-29
MEG0521,4.430473573675416e-27,1.2290599079719993e-27,7.693747762792485e-28,1.534931624113888e-27,3.9329763505223633e-29
MEG0531,4.682256487579463e-27,1.2419767037898994e-27,6.070218958674037e-28,2.6262656383618014e-27,4.8495311865819405e-29
MEG0541,4.464464955479182e-27,1.1329254104271955e-27,7.753910350071644e-28,1.5615314759477743e-27,3.871527713501449e-29
MEG0611,5.321972170828959e-27,1.3212095819080124e-27,6.0604735149021065e-28,3.7254434708998736e-27,5.195671522579535e-29
MEG0621,5.383760759239288e-27,1.7743127472987716e-27,7.475230753692726e-28,4.702841413154958e-27,6.953248278856021e-29
MEG0631,5.462734172336242e-27,1.6446862604814508e-27,8.31066864316466e-28,4.203946900725166e-27,5.81483958458002e-29
MEG0641,5.2376241786312366e-27,1.344316638779469e-27,6.578504062289037e-28,3.91148287656374e-27,5.255241590801857e-29
MEG0711,5.4299889852952715e-27,1.662358538983117e-27,9.467288195966632e-28,3.6637236079417485e-27,5.241680143778296e-29
MEG0721,5.482251318300612e-27,2.091564667705688e-27,1.0600409737122815e-27,4.09398976463791e-27,7.121783547783132e-29
MEG0731,5.6620120604269435e-27,2.1674010482315467e-27,1.2249778633969312e-27,3.0964557761198468e-27,5.800743492021099e-29
MEG0741,5.7645950567103766e-27,1.9111755084518182e-27,1.1539783796786737e-27,2.9563712477370573e-27,4.771053955049219e-29
MEG0811,4.720261690615816e-27,1.3391232424883203e-27,7.176984948933906e-28,1.9882906054595114e-27,5.157216130544855e-29
MEG0821,4.719311368992437e-27,1.4345300785331723e-27,5.788169023443781e-28,3.1770249578061482e-27,6.155575371298491e-29
MEG0911,4.823653958804034e-27,1.524148403278216e-27,7.5308645326252245e-28,1.921423022744696e-27,6.01152878541921e-29
MEG0921,5.345246659383693e-27,1.9343514544806362e-27,1.0531676675307125e-27,1.4472098717636213e-27,6.688165286697572e-29
MEG0931,4.946743373310776e-27,2.3265518836929958e-27,1.0187858456090013e-27,2.334896239316423e-27,8.494634099185287e-29
MEG0941,4.618848525121247e-27,1.6403622729032947e-27,6.297079624267262e-28,3.0966974640240743e-27,7.312291173516508e-29
MEG1011,5.083753705126064e-27,1.5994864508779904e-27,6.165400329225402e-28,4.3137767090466184e-27,6.842448474326846e-29
MEG1021,5.2038801267089904e-27,1.9814755311732886e-27,7.3712355504237555e-28,4.3438137190743604e-27,8.29812297423583e-29
MEG1031,5.329867486491001e-27,2.1984334571774708e-27,8.776981219885664e-28,4.624746415991358e-27,8.293660784879724e-29
MEG1041,5.397728155439821e-27,1.9884126161700523e-27,9.062520493380326e-28,4.521671055562603e-27,7.183464177973271e-29
MEG1111,5.737618206663594e-27,2.6268357606507508e-27,1.1727019599132264e-27,3.916428746401334e-27,8.276398594983264e-29
MEG1121,6.0565228588527685e-27,3.0127475685730845e-27,1.4114159717237581e-27,2.6491664073344333e-27,8.714282796401959e-29
MEG1131,6.430372085749878e-27,3.070151858073772e-27,1.699710060847752e-27,2.1768867843895657e-27,8.221909551449352e-29
MEG1141,5.889314529955625e-27,2.6435269595125753e-27,1.3393176234911932e-27,3.379381932277757e-27,7.797227903098719e-29
MEG1211,6.353628110769274e-27,2.57433765290746e-27,1.5003927642051868e-27,9.760827105443729e-28,6.979398907383422e-29
MEG1221,7.241106473578003e-27,3.057021096204551e-27,1.8677582176858883e-27,8.103999610425072e-28,7.586971145802079e-29
MEG1231,5.8482305831948736e-27,2.8479525085258336e-27,1.398722643980535e-27,1.691586832748235e-27,8.289259712516909e-29
MEG1241,5.6163339806545184e-27,2.7079108701447055e-27,1.1435461936815683e-27,3.2433009076514096e-27,8.994090639527447e-29
MEG1311,6.625079929542644e-27,3.231203046786747e-27,1.756451852610613e-27,1.3013162533079174e-27,8.061300670855965e-29
MEG1321,7.842439736897144e-27,3.430746642181334e-27,2.3421749825546684e-27,7.422085091045325e-28,8.282500252362974e-29
MEG1331,7.418473847648779e-27,3.2657677937378805e-27,2.537473270673705e-27,6.7722932116850055e-28,9.666778002335543e-29
MEG1341,7.1060856483864e-27,3.28988524622146e-27,2.0531687720326213e-27,1.0497723040456124e-27,7.928623591627936e-29
MEG1411,1.3819587895332996e-26,4.1596394631213195e-27,2.61187504161417e-27,9.505451828188506e-28,8.391419802872361e-29
MEG1421,2.042824266606038e-26,5.6129782959189384e-27,3.7794209779826996e-27,1.4121647524559892e-27,8.762317017430784e-29
MEG1431,1.7854037865663953e-26,5.731436816311539e-27,4.078023862800792e-27,1.4078960214117665e-27,9.746181104785443e-29
MEG1441,1.1849696591923634e-26,4.203474240613148e-27,2.972491300690197e-27,9.281909316738947e-28,9.37427102298229e-29
MEG1511,6.731597905689548e-27,2.3363862868230068e-27,1.8102229189095218e-27,3.6321473300437993e-28,8.510746177354368e-29
MEG1521,6.61988076655412e-27,2.547687520119181e-27,2.0293573293553643e-27,4.542533392534212e-28,1.0589404396094272e-28
MEG1531,1.2571812491216792e-26,3.1622373516401078e-27,1.90043022348535e-27,5.372061204976828e-28,1.3776217634541217e-28
MEG1541,1.2357343893382807e-26,2.631228067630646e-27,1.8887193448026417e-27,5.409754626640467e-28,9.945476548991306e-29
MEG1611,5.442482823055023e-27,2.3630071221899453e-27,2.127111438364443e-27,3.8135906917525053e-28,7.903192035074433e-29
MEG1621,5.336720808030037e-27,1.905788135448651e-27,1.750180961728926e-27,4.418669393581115e-28,5.228854625236565e-29
MEG1631,5.6639563610881985e-27,2.2345211132984794e-27,2.0077510674240658e-27,3.97166251639281e-28,5.220438428531423e-29
MEG1641,6.0348656236831384e-27,2.690770470175279e-27,2.4248441751325907e-27,4.693596514510265e-28,8.676911320737088e-29
MEG1711,1.3336630542079545e-26,3.862312583350934e-27,2.0024382559893254e-27,6.691932029223614e-28,1.9352369735973264e-28
MEG1721,7.494939694003375e-27,3.021259920624687e-27,2.3091069414350464e-27,6.2501116284460005e-28,1.42886015129018e-28
MEG1731,8.603841836504422e-27,3.718887171625219e-27,2.430957592782001e-27,8.918957957608406e-28,1.7972600581475577e-28
MEG1741,1.6359697546882965e-26,5.125689544663805e-27,2.4973233558817023e-27,1.0194925606426592e-27,2.242978486880934e-28
MEG1811,5.309931510850136e-27,1.5829082019019819e-27,1.3032429118471372e-27,1.0471517569952427e-27,3.772669273646932e-29
MEG1821,5.365559505205363e-27,1.5438508312170943e-27,1.099726016146798e-27,2.0155807042063678e-27,3.6551875881743286e-29
MEG1831,6.070101009324515e-27,2.2515281337278774e-27,1.4066271989763075e-27,1.7349877081216127e-27,4.090850496864667e-29
MEG1841,5.88710011899799e-27,2.1484432999850717e-27,1.5548753305570848e-27,8.46526231169137e-28,3.807255754765327e-29
MEG1911,6.872331695852495e-27,2.959751784400612e-27,2.4115255751088146e-27,4.371786012508292e-28,5.470993400676124e-29
MEG1921,8.745382978428745e-27,3.91428317807896e-27,2.640053074856155e-27,6.5040239648677705e-28,8.339258003982235e-29
MEG1931,1.0164064715271433e-26,4.339827458978526e-27,2.5342683981378188e-27,1.0105305184978087e-27,1.4702243961552726e-28
MEG1941,7.327140709664436e-27,3.3107349456838555e-27,2.6104657055365435e-27,5.745005243934849e-28,8.705660579231264e-29
MEG2011,6.823247792687003e-27,2.8148438610249685e-27,1.901471351412771e-27,8.258764516338693e-28,4.5631123936104473e-29
MEG2021,6.610410398282686e-27,2.8860650943011356e-27,1.750215768099866e-27,8.345699140220201e-28,4.6667044242347767e-29
MEG2031,7.456431280325809e-27,3.442302670422057e-27,2.016246495064841e-27,5.052689489868644e-28,5.838260118320832e-29
MEG2041,7.629425091777248e-27,3.428909425729723e-27,2.4798015679954133e-27,5.1753107838137275e-28,5.566963153243287e-29
MEG2111,8.987459429977042e-27,4.1978127578764775e-27,2.4404035204549233e-27,7.100396785763946e-28,1.1505675315570664e-28
MEG2121,1.0753000265306433e-26,4.6034943907198464e-27,2.973984964054379e-27,1.2861356757772452e-27,3.0751942505726176e-28
MEG2131,1.9003576155252e-26,6.685955489821128e-27,3.7201913642733465e-27,1.3512056901354625e-27,2.7016375078964843e-28
MEG2141,1.7600127581503717e-26,6.085532475213258e-27,3.052719417865437e-27,1.1193661690766575e-27,1.699581760754024e-28
MEG2211,5.97231655421057e-27,2.6706781909624104e-27,1.5614067729155011e-27,2.5210340003718963e-27,6.848509911996694e-29
MEG2221,6.35156084636237e-27,2.9670943464636346e-27,1.9286717275576603e-27,1.5787236415192622e-27,7.065566632670201e-29
