,delta (0.5-4 Hz),theta (4-8 Hz),alpha (8-12 Hz),beta (12-30 Hz),gamma (30-100 Hz)
MEG0112,4.269713593316646e-24,2.1081294918103263e-24,1.9549092390621485e-24,4.791490776752419e-24,6.5958984407679494e-24
MEG0113,1.3763714788360316e-23,5.267975521411126e-24,3.734375548482069e-24,7.587932234672689e-24,7.206536561868263e-24
MEG0122,1.1558610221551828e-23,3.804585541975751e-24,2.1873461356890752e-24,4.838636818811626e-24,6.1055205489655826e-24
MEG0123,3.846766623506287e-24,2.0706688565649642e-24,1.5022091677572393e-24,3.587500135424164e-24,7.503442099769978e-24
MEG0132,1.1574421779454992e-23,3.980393463809271e-24,2.882917468394549e-24,4.6763460833007205e-24,5.857584912249321e-24
MEG0133,4.084693223955784e-24,1.877829849926466e-24,1.7052428938268534e-24,3.404913883489757e-24,6.262505334732477e-24
MEG0142,3.166598862191553e-24,1.8903930602110038e-24,1.8945744586922046e-24,4.351748235412696e-24,6.394989096673634e-24
MEG0143,1.2323988385360295e-23,4.902368277489236e-24,3.980596702150836e-24,8.434505836733641e-24,6.2315006689893765e-24
MEG0212,3.348393326685001e-24,2.1797766238490962e-24,2.250764272779621e-24,3.44015877837723e-24,6.163511010867343e-24
MEG0213,6.913580586014545e-24,2.7997634764182472e-24,2.0583954767092697e-24,3.85298984924885e-24,5.625777983094901e-24
MEG0222,6.040088185313297e-24,2.5047983600549737e-24,1.6787865407291496e-24,4.206730629004342e-24,5.152922258484172e-24
MEG0223,4.0384736410283836e-24,3.2243373309399472e-24,3.1163513259954556e-24,8.88846585670667e-24,2.0861715836361678e-23
MEG0232,6.4413393200310455e-24,2.9845011716160046e-24,2.378524874585595e-24,4.170361831543172e-24,5.4923892878159214e-24
MEG0233,3.104447323834101e-24,1.7868008894185975e-24,2.2419424303736653e-24,2.7183976554827764e-24,4.728822845370104e-24
MEG0242,6.045657812642095e-24,2.7505967385318423e-24,3.190513273630413e-24,4.018755494061525e-24,5.248841918477868e-24
MEG0243,6.727014519739394e-24,2.6156063172983673e-24,2.1646507816724408e-24,3.986209136866411e-24,5.784976839648515e-24
MEG0312,4.0919424918737304e-24,2.0402986003551512e-24,1.3886568071541581e-24,3.531891551438183e-24,6.986420142120108e-24
MEG0313,5.216346334441071e-24,2.1093167844394015e-24,1.2930180009224392e-24,3.340818641929421e-24,5.494376263445619e-24
MEG0322,5.158294000800933e-24,2.0836747186706695e-24,1.3744601785651677e-24,3.155253133733938e-24,4.3094028356922716e-24
MEG0323,2.3586476823198168e-24,1.3883672129783702e-24,1.0864037893621507e-24,2.7496563006261905e-24,5.132738297543267e-24
MEG0332,2.1975656526852864e-24,1.4017574054933005e-24,1.0149931492440026e-24,2.103852551735987e-24,3.8957956707897594e-24
MEG0333,2.667546914264453e-24,1.6672702196721207e-24,1.0493503981804676e-24,2.9183904633946635e-24,4.842671331269728e-24
MEG0342,3.455744375983431e-24,1.8706999151422447e-24,1.2491928318852749e-24,2.956192838612036e-24,5.78988621278342e-24
MEG0343,6.6117470255733744e-24,2.978918534623047e-24,1.9857993062686197e-24,3.832459849015909e-24,6.153341416103252e-24
MEG0412,2.108875953187257e-24,1.669091463485522e-24,1.1739356227321749e-24,2.7021730445795637e-24,5.458339287476133e-24
MEG0413,3.785045324462578e-24,1.9157583742653525e-24,1.3612209143821691e-24,3.297995164152518e-24,4.7529313947779626e-24
MEG0422,3.0590837248794792e-24,1.8579021673872958e-24,1.6178838639974207e-24,3.8977140097421894e-24,8.081096785787277e-24
MEG0423,1.9396223160070487e-24,1.4432202147479543e-24,1.221316662508309e-24,2.6935267152796632e-24,6.475114843037405e-24
MEG0432,3.2206989075970616e-24,1.8559706072328437e-24,1.5626936199962756e-24,3.7666196613831705e-24,6.623960141370447e-24
MEG0433,1.7488320857176133e-24,1.3013268584288494e-24,1.0921786622196973e-24,2.671371679587515e-24,4.947718579035733e-24
MEG0442,2.187616107806109e-24,1.529457099602889e-24,1.4346010473988866e-24,3.0355490107671144e-24,5.866974781082074e-24
MEG0443,4.2921783490593055e-24,2.278612439285563e-24,1.6370618093260932e-24,4.260051618672896e-24,5.839673757267072e-24
MEG0512,2.7844979364528803e-24,1.5643826322036443e-24,1.0899603838700576e-24,2.58627701033064e-24,4.2336802375678675e-24
MEG0513,3.443224432380199e-24,1.4895575694268915e-24,8.680983122018564e-25,2.625263389339071e-24,4.633435415753088e-24
MEG0522,2.668110481251114e-24,1.7565304673487655e-24,1.2959487464270475e-24,3.061497706927983e-24,5.692241966051534e-24
MEG0523,3.713538926174525e-24,1.8806422171083885e-24,1.2819132291657983e-24,3.461524518363756e-24,6.274791286709451e-24
MEG0532,2.560931306357759e-24,1.6295927815224758e-24,8.237697387603692e-25,2.4346135439127743e-24,4.55091934804715e-24
MEG0533,1.864997150125943e-24,1.2691398458269936e-24,9.04039897206595e-25,2.414274612805048e-24,4.709960972861629e-24
MEG0542,3.605062944571469e-24,1.7762336663781774e-24,1.213509325758387e-24,2.708348556878125e-24,5.3272701227851476e-24
MEG0543,2.4698688040978057e-24,1.5279242957010664e-24,1.0457750850935845e-24,2.7172565957582155e-24,4.985700197792933e-24
MEG0612,1.9516432551929797e-24,1.2711396097425124e-24,9.108703720508895e-25,2.4330651629687504e-24,4.799667839355098e-24
MEG0613,1.6822887191529464e-24,1.0577511778765347e-24,7.390576705408419e-25,1.9792801525522668e-24,4.5725484339748435e-24
MEG0622,1.713014472980777e-24,1.320632113723417e-24,9.03797555064802e-25,2.566140493899254e-24,5.535450170740509e-24
MEG0623,1.9094835439308995e-24,1.3133094934028659e-24,9.609037472790848e-25,2.5947675192082578e-24,5.19293425344987e-24
MEG0632,2.26791891313069e-24,1.5631459431202735e-24,9.92624117580648e-25,2.238510844645358e-24,3.921024306776958e-24
MEG0633,1.5932088603267604e-24,1.233957895384155e-24,1.0091202739395334e-24,2.4236639210471644e-24,5.1410524378193706e-24
MEG0642,2.082818601323892e-24,1.477824394217006e-24,9.996517815071064e-25,2.2835045429000862e-24,5.030879359550736e-24
MEG0643,2.182180959277945e-24,1.6297572731995938e-24,1.0326083997495831e-24,2.6594780221891182e-24,5.193940256549245e-24
MEG0712,1.5971935737086039e-24,1.3150928642694668e-24,8.899788828173882e-25,2.35738977965417e-24,4.82186521437448e-24
MEG0713,2.509502913461395e-24,1.771425050320388e-24,1.3169541588120405e-24,2.8208331669073354e-24,5.5515107386213505e-24
MEG0722,2.2836153486101335e-24,1.7454798543346663e-24,1.292391739606526e-24,3.259461760619813e-24,7.490248705369562e-24
MEG0723,2.628660684177584e-24,1.9692044443099973e-24,1.5783538618807306e-24,3.167169653171865e-24,6.4562022807119926e-24
MEG0732,2.2751978715379675e-24,1.5774939739276967e-24,1.5754711033976609e-24,2.29220851261385e-24,3.535294065337994e-24
MEG0733,1.3077397289841868e-24,1.0521223145866027e-24,1.013187570969526e-24,2.2904574772229006e-24,4.4595257805458906e-24
MEG0742,2.3825252367277118e-24,1.5303684778209442e-24,1.398270718047404e-24,2.453413514288705e-24,4.175120933798884e-24
MEG0743,1.456196001250558e-24,1.1859486506779781e-24,1.1033401255481257e-24,2.2865448945794707e-24,5.082747108396255e-24
MEG0812,2.236514342581934e-24,1.535917916975813e-24,1.0109658702967825e-24,2.4715150181998852e-24,4.41380490782288e-24
MEG0813,4.048780590313515e-24,2.1877129276773286e-24,1.7747111507700784e-24,5.146305141032094e-24,1.1379192885469675e-23
MEG0822,3.362669351521596e-24,1.99530192474775e-24,1.3477145994909125e-24,3.2478501235959143e-24,6.509318295006696e-24
MEG0823,1.9716575438194837e-24,1.4244769163532586e-24,9.80361793976884e-25,2.497738604824421e-24,5.025394484765196e-24
MEG0912,1.9927147944211148e-24,1.3745964215979819e-24,8.359543972414506e-25,2.214577595925635e-24,4.142708383288084e-24
MEG0913,3.3438996838112305e-24,2.052004228484457e-24,1.3198080772969711e-24,3.390248336324184e-24,6.131280104324533e-24
MEG0922,2.7077530921153226e-24,1.60592444499331e-24,9.834350443670435e-25,2.7035859662054614e-24,5.463300526558636e-24
MEG0923,3.2365478508162644e-24,2.248832116572716e-24,1.1834958098107352e-24,3.3929267539333606e-24,6.39561797669004e-24
MEG0932,3.022643378839671e-24,1.9749144529145233e-24,1.0874718829701061e-24,2.4759220045575483e-24,4.753826061116093e-24
MEG0933,1.8892914260173277e-24,1.3593776961550468e-24,8.534767699972728e-25,2.3239369921035275e-24,4.889172017783159e-24
MEG0942,2.4058973666681572e-24,1.5144453500926908e-24,9.029610898483508e-25,2.2593499977966216e-24,4.452307749100481e-24
MEG0943,1.6982787598769782e-24,1.283533084511023e-24,9.670809159903778e-25,2.663483079062538e-24,5.940798413277297e-24
MEG1012,2.1977239483575087e-24,1.562165774314494e-24,1.0559511133656042e-24,2.9439053120169265e-24,5.727293470439575e-24
MEG1013,2.533632398363561e-24,1.6527343087622148e-24,1.1164671945587027e-24,2.9612499954919662e-24,6.0702503613799546e-24
MEG1022,2.0007123396846e-24,1.489953309243138e-24,1.022673525068839e-24,2.2931068057761796e-24,4.375883481581413e-24
MEG1023,1.8609256086390484e-23,6.56165240009739e-24,2.49906615051762e-24,5.8854368463062676e-24,9.863720461494102e-24
MEG1032,2.295427288050119e-24,1.5033496641614533e-24,9.85845460074264e-25,2.542705799964972e-24,5.2563938149258644e-24
MEG1033,3.0447759549203575e-24,1.9955935967260326e-24,1.3948531061798231e-24,2.685502251361408e-24,4.9641506869311814e-24
MEG1042,2.6707604032756726e-24,2.24225145199884e-24,1.6461938405059202e-24,3.4960592605382005e-24,7.981009787232293e-24
MEG1043,2.2365655674895305e-24,1.5198660748899494e-24,1.3014427675732545e-24,3.278484910111621e-24,7.564183541161983e-24
MEG1112,3.0441463049043543e-24,2.5398972382603983e-24,1.8017278067508413e-24,3.317562825722423e-24,5.8778624253506385e-24
MEG1113,1.1808301591855522e-23,6.669132173432508e-24,3.2006976452923803e-24,7.166756139839064e-24,9.909638350704185e-24
