,delta (0.5-4 Hz),theta (4-8 Hz),alpha (8-12 Hz),beta (12-30 Hz),gamma (30-100 Hz)
MEG0111,5.635130038597226e-27,3.0721040092384686e-27,2.957603128030959e-27,3.7057959988197996e-27,1.8758890234082318e-27
MEG0121,3.575032161334692e-27,1.2328878747610895e-27,8.797111803955973e-28,1.2576253488038302e-27,1.8549004231039388e-27
MEG0131,1.748246340244716e-27,8.63301377415916e-28,7.834489789434727e-28,1.1231049376012857e-27,1.2203878613202324e-27
MEG0141,5.1579146545142676e-27,2.5458531875840727e-27,2.289284776994873e-27,3.235274711883828e-27,1.5540371199659806e-27
MEG0211,4.001493201209539e-27,1.6356942371874993e-27,1.32426729299065e-27,2.025387576648611e-27,1.620380576745362e-27
MEG0221,2.656759427957222e-27,1.2552899028897154e-27,1.0689446885940057e-27,1.4892333594606032e-27,1.1309554924135371e-27
MEG0231,3.72754580026915e-27,1.730100846734297e-27,1.3611216719045771e-27,1.8499292359620336e-27,1.3507505706482957e-27
MEG0241,4.543198655575331e-27,2.7116102407149964e-27,2.4470338115682627e-27,2.8343429916525666e-27,1.7853245996427353e-27
MEG0311,4.5483028634524605e-27,1.7057611187975034e-27,1.4272760270014338e-27,1.9805473477857747e-27,3.0109430156081092e-27
MEG0321,1.8113932606762197e-27,1.0731681666843564e-27,1.0454764279404151e-27,1.2222998655293633e-27,1.5768004512415984e-27
MEG0331,1.2223600390122351e-27,9.126132488287276e-28,8.175425860431533e-28,8.639617435855918e-28,8.884083027229961e-28
MEG0341,3.1542305565668154e-27,1.310384931751128e-27,1.0924701942246265e-27,1.509928406824356e-27,1.972695742275639e-27
MEG0411,2.0084947046335755e-27,1.0082256872977224e-27,8.028885164356877e-28,1.173957916590262e-27,9.97776717672332e-28
MEG0421,7.254821916434577e-28,4.710879809074609e-28,3.65119660795982e-28,4.945194902353926e-28,6.052031551116885e-28
MEG0431,8.458488592363193e-28,5.9833337804572635e-28,5.072443190062345e-28,7.4427128793633385e-28,7.467907093782605e-28
MEG0441,1.998602775193126e-27,8.857690886836804e-28,7.508778883994199e-28,1.1300579610386785e-27,8.512691739291967e-28
MEG0511,8.57156274144389e-27,3.520911885623127e-27,3.488469792685558e-27,4.36767349184713e-27,2.7905279126910863e-27
MEG0521,9.102196882286247e-27,4.0442117082400776e-27,4.0442179006209145e-27,5.152880424835379e-27,2.619844964182942e-27
MEG0531,1.6204643165500547e-27,1.0406957775792128e-27,1.0118251197034447e-27,1.278699797515129e-27,1.0973355487612885e-27
MEG0541,1.694972752522933e-27,1.221728690176072e-27,1.1191640775328027e-27,1.5549031518853169e-27,2.365144054772943e-27
MEG0611,9.148801065310273e-28,7.162725317511441e-28,5.080020343661693e-28,7.457733644798112e-28,5.81473388358071e-28
MEG0621,6.0372138170078865e-28,4.6237299098142945e-28,4.496172059985803e-28,6.436806342680556e-28,7.98294030747776e-28
MEG0631,6.75984559410073e-28,5.059162055745839e-28,2.9808006203894926e-28,6.063537858725619e-28,6.482837537919128e-28
MEG0641,6.827124628959577e-28,5.460744819530809e-28,3.708978369246153e-28,5.974142350210878e-28,6.525759963250076e-28
MEG0711,1.9711459575245378e-27,1.0363918620544267e-27,6.754823560715438e-28,1.1863892462972149e-27,7.514218616371207e-28
MEG0721,2.5531834015059696e-27,1.1654013577981772e-27,7.535669657059633e-28,1.4349028378720093e-27,1.235496884130558e-27
MEG0731,3.294011740348357e-27,1.4957248001787066e-27,1.143143360511647e-27,1.7763294617198827e-27,7.220858263733036e-28
MEG0741,3.956668695122149e-27,1.8242464232755903e-27,1.3811706092527064e-27,1.9835801592841417e-27,7.408650490893916e-28
MEG0811,5.9162229863749956e-27,3.0744871638897274e-27,2.912101444769329e-27,3.606577998184766e-27,2.3078179909309182e-27
MEG0821,8.649050836061354e-28,5.887221398069435e-28,5.612708520845031e-28,7.210588601611815e-28,8.159963522328679e-28
MEG0911,4.145740248319546e-27,2.2113377535322172e-27,1.8807532845124282e-27,2.4399239732731084e-27,1.8929572983942386e-27
MEG0921,2.0941908088363635e-27,1.1776023319340569e-27,8.976144048911593e-28,1.1828548299586722e-27,1.0684925402733345e-27
MEG0931,2.1495960779434545e-27,1.002472159812841e-27,7.363167639566272e-28,1.2216822641296661e-27,7.490284170799045e-28
MEG0941,1.0983968712047193e-27,5.156452408361984e-28,4.3883798102342295e-28,6.663491546108715e-28,7.873613553712594e-28
MEG1011,1.7751102948928578e-27,8.345281120886473e-28,7.691862533587703e-28,9.169413919764954e-28,7.292731650712031e-28
MEG1021,1.911068925072515e-27,6.797742318287922e-28,7.3692877362328475e-28,1.0142639998387336e-27,7.682483811223704e-28
MEG1031,1.5255014035737041e-27,7.4068842392584e-28,8.102996222612163e-28,8.688276044052624e-28,8.505053421023987e-28
MEG1041,8.307366014834192e-28,5.186619547340216e-28,3.7455331847339675e-28,6.074079328347729e-28,7.266558242903397e-28
MEG1111,1.4736079426456175e-27,1.0515177406225247e-27,9.66482862269914e-28,1.0647138246534338e-27,1.0422684462733036e-27
MEG1121,4.02057850529292e-27,2.4539587696812656e-27,2.0187816832708144e-27,2.715913827112855e-27,1.2635746935352106e-27
MEG1131,3.617228777323282e-27,2.4832138498210925e-27,1.836608721569264e-27,2.4820819059827627e-27,1.1630327551523904e-27
MEG1141,1.4995230139094123e-27,9.312959639595273e-28,7.685254654157716e-28,9.452185665319974e-28,8.67645776336341e-28
MEG1211,1.9349028281483862e-27,1.127305605575859e-27,7.3822662278163185e-28,1.0924166998768724e-27,1.2263768558533076e-27
MEG1221,2.7590705333482697e-27,1.4770380290175118e-27,1.450184411039061e-27,1.918338151630023e-27,1.8743235496012164e-27
MEG1231,4.1783119167217445e-27,2.2208467384334897e-27,1.8811391676135475e-27,2.931493522254112e-27,1.1235890361270532e-27
MEG1241,5.1335772988809486e-27,2.254868804773575e-27,2.080613826081976e-27,2.7888029166999206e-27,1.00217910298723e-27
MEG1311,5.5659006472847e-27,3.273200391568701e-27,2.835378527747863e-27,4.023029553522903e-27,1.6128450667933237e-27
MEG1321,5.266000876875694e-27,3.459686074016041e-27,3.1796779144533223e-27,3.1133564172056072e-27,2.5373476271529602e-27
MEG1331,6.297159781312772e-27,3.704153870464089e-27,3.611362488321271e-27,4.6575047166787455e-27,4.0435922327283474e-27
MEG1341,5.582209652980723e-27,3.5444908665553846e-27,3.0015757587935053e-27,3.868490491527753e-27,1.6668268657935724e-27
MEG1411,5.47432032167902e-27,2.4969754050799073e-27,2.2588447299565386e-27,3.112185953631133e-27,2.8369120103780954e-27
MEG1421,1.3029783655867856e-26,5.4013253758192005e-27,4.132747007239824e-27,7.252081777613066e-27,3.2104222369326134e-27
MEG1431,1.2167985158366854e-26,5.470358043397463e-27,4.397608534776875e-27,8.156045513755374e-27,3.52083874200563e-27
MEG1441,4.831344655630806e-27,3.046664269519219e-27,2.398601695849457e-27,3.537446498342537e-27,2.7601171568138322e-27
MEG1511,1.6248865786300258e-27,9.060858444847019e-28,1.0107629844838728e-27,1.4290976218026294e-27,1.4702368353961108e-27
MEG1521,4.0489736497726304e-27,2.002638449088956e-27,1.890555714533532e-27,2.672297302479419e-27,2.768050022591329e-27
MEG1531,7.775358115339397e-27,2.757726568998634e-27,2.1660810749104785e-27,4.04250035826126e-27,5.683186894143058e-27
MEG1541,7.692463552350135e-27,2.4534950905552773e-27,1.833142887205701e-27,3.309614255632261e-27,2.3559887212649096e-27
MEG1611,7.520892141020669e-27,3.72111807244199e-27,3.965529700921485e-27,4.020095018833707e-27,1.680048822789757e-27
