,delta (0.5-4 Hz),theta (4-8 Hz),alpha (8-12 Hz),beta (12-30 Hz),gamma (30-100 Hz)
MEG0112,1.0674283983291615e-24,4.2162589836206525e-25,3.909818478124297e-25,2.5218372509223256e-25,9.289997803898521e-26
MEG0113,3.440928697090079e-24,1.0535951042822253e-24,7.468751096964138e-25,3.993648544564573e-25,1.0150051495589102e-25
MEG0122,2.889652555387957e-24,7.609171083951502e-25,4.37469227137815e-25,2.546650957269277e-25,8.599324716852933e-26
MEG0123,9.616916558765718e-25,4.141337713129928e-25,3.0044183355144785e-25,1.8881579660127178e-25,1.056822830953518e-25
MEG0132,2.893605444863748e-24,7.960786927618542e-25,5.765834936789099e-25,2.4612347806845897e-25,8.250119594717353e-26
MEG0133,1.021173305988946e-24,3.755659699852932e-25,3.410485787653707e-25,1.7920599386788195e-25,8.820430048918981e-26
MEG0142,7.916497155478882e-25,3.7807861204220074e-25,3.789148917384409e-25,2.2903938081119454e-25,9.007026896723428e-26
MEG0143,3.080997096340074e-24,9.804736554978472e-25,7.961193404301671e-25,4.439213598280864e-25,8.77676150561884e-26
MEG0212,8.370983316712502e-25,4.359553247698193e-25,4.501528545559242e-25,1.810609883356437e-25,8.681001423756821e-26
MEG0213,1.728395146503636e-24,5.5995269528364945e-25,4.1167909534185394e-25,2.0278893943415e-25,7.923630962105495e-26
MEG0222,1.5100220463283243e-24,5.009596720109948e-25,3.3575730814582995e-25,2.2140687521075485e-25,7.257636983780524e-26
MEG0223,1.0096184102570959e-24,6.448674661879895e-25,6.232702651990911e-25,4.678139924582457e-25,2.9382698361072785e-25
MEG0232,1.6103348300077614e-24,5.969002343232009e-25,4.757049749171191e-25,2.194927279759564e-25,7.735759560304115e-26
MEG0233,7.761118309585252e-25,3.573601778837195e-25,4.483884860747331e-25,1.4307356081488297e-25,6.660313866718457e-26
MEG0242,1.5114144531605237e-24,5.501193477063685e-25,6.381026547260826e-25,2.1151344705586972e-25,7.392735096447701e-26
