,delta (0.5-4 Hz),theta (4-8 Hz),alpha (8-12 Hz),beta (12-30 Hz),gamma (30-100 Hz)
MEG0111,1.4087825096493064e-27,6.144208018476938e-28,5.915206256061918e-28,1.950418946747263e-28,2.642097216067932e-29
MEG0121,8.93758040333673e-28,2.465775749522179e-28,1.7594223607911947e-28,6.619080783178054e-29,2.612535807188646e-29
MEG0131,4.37061585061179e-28,1.7266027548318323e-28,1.5668979578869453e-28,5.911078618954136e-29,1.7188561427045526e-29
MEG0141,1.2894786636285669e-27,5.091706375168145e-28,4.578569553989746e-28,1.702776164149383e-28,2.1887846760084235e-29
MEG0211,1.0003733003023848e-27,3.2713884743749986e-28,2.6485345859813e-28,1.0659934613940058e-28,2.2822261644300874e-29
MEG0221,6.641898569893055e-28,2.5105798057794305e-28,2.1378893771880114e-28,7.838070312950543e-29,1.5928950597373763e-29
MEG0231,9.318864500672875e-28,3.460201693468594e-28,2.722243343809154e-28,9.736469662958071e-29,1.9024655924623884e-29
MEG0241,1.1357996638938328e-27,5.4232204814299925e-28,4.894067623136525e-28,1.4917594692908245e-28,2.5145416896376554e-29
MEG0311,1.1370757158631151e-27,3.411522237595007e-28,2.8545520540028677e-28,1.0423933409398814e-28,4.240764810715647e-29
MEG0321,4.528483151690549e-28,2.1463363333687126e-28,2.0909528558808303e-28,6.433157186996649e-29,2.2208457059740823e-29
MEG0331,3.055900097530588e-28,1.8252264976574552e-28,1.6350851720863066e-28,4.5471670715031146e-29,1.2512792996098537e-29
MEG0341,7.8855763914170385e-28,2.6207698635022564e-28,2.184940388449253e-28,7.946991614865032e-29,2.778444707430478e-29
MEG0411,5.021236761583939e-28,2.0164513745954448e-28,1.6057770328713754e-28,6.178725876790853e-29,1.4053193206652563e-29
MEG0421,1.8137054791086442e-28,9.421759618149217e-29,7.30239321591964e-29,2.602734159133645e-29,8.523988100164627e-30
MEG0431,2.114622148090798e-28,1.1966667560914527e-28,1.014488638012469e-28,3.917217304928073e-29,1.0518179005327612e-29
MEG0441,4.996506937982815e-28,1.771538177367361e-28,1.5017557767988397e-28,5.94767347915094e-29,1.198970667505911e-29
MEG0511,2.1428906853609725e-27,7.041823771246255e-28,6.9769395853711155e-28,2.298775522024805e-28,3.930321003790262e-29
MEG0521,2.275549220571562e-27,8.088423416480155e-28,8.08843580124183e-28,2.712042328860726e-28,3.689922484764707e-29
MEG0531,4.051160791375137e-28,2.0813915551584258e-28,2.0236502394068896e-28,6.729998934290152e-29,1.54554302642435e-29
MEG0541,4.2374318813073325e-28,2.443457380352144e-28,2.2383281550656055e-28,8.183700799396405e-29,3.3311888095393566e-29
MEG0611,2.2872002663275682e-28,1.4325450635022882e-28,1.0160040687323385e-28,3.925122970946375e-29,8.189766033212267e-30
MEG0621,1.5093034542519716e-28,9.247459819628589e-29,8.992344119971606e-29,3.387792811937135e-29,1.1243577897856001e-29
MEG0631,1.6899613985251825e-28,1.011832411149168e-28,5.961601240778985e-29,3.191335715118747e-29,9.130757095660744e-30
MEG0641,1.7067811572398942e-28,1.0921489639061617e-28,7.417956738492306e-29,3.14428544747941e-29,9.191211215845178e-30
MEG0711,4.9278648938113445e-28,2.0727837241088536e-28,1.3509647121430878e-28,6.244153927880079e-29,1.0583406501931278e-29
MEG0721,6.382958503764924e-28,2.3308027155963545e-28,1.5071339314119267e-28,7.552120199326364e-29,1.7401364565219127e-29
MEG0731,8.235029350870892e-28,2.9914496003574135e-28,2.2862867210232937e-28,9.349102430104645e-29,1.0170222906666249e-29
MEG0741,9.891671737805373e-28,3.6484928465511808e-28,2.762341218505413e-28,1.0439895575179694e-28,1.0434719001259037e-29
MEG0811,1.4790557465937489e-27,6.148974327779455e-28,5.824202889538658e-28,1.8981989464130346e-28,3.250447874550589e-29
MEG0821,2.1622627090153386e-28,1.177444279613887e-28,1.1225417041690063e-28,3.795046632427271e-29,1.1492906369477012e-29
MEG0911,1.0364350620798864e-27,4.422675507064435e-28,3.761506569024856e-28,1.2841705122490044e-28,2.6661370399918855e-29
MEG0921,5.235477022090909e-28,2.355204663868114e-28,1.7952288097823187e-28,6.225551736624591e-29,1.5049190708075133e-29
MEG0931,5.373990194858636e-28,2.0049443196256818e-28,1.4726335279132544e-28,6.429906653314032e-29,1.0549696015209923e-29
MEG0941,2.7459921780117983e-28,1.0312904816723967e-28,8.776759620468459e-29,3.507100813741429e-29,1.108959655452478e-29
MEG1011,4.437775737232144e-28,1.6690562241772946e-28,1.5383725067175405e-28,4.826007326192081e-29,1.0271453029171876e-29
MEG1021,4.7776723126812875e-28,1.3595484636575844e-28,1.4738575472465695e-28,5.338231578098599e-29,1.0820399734117893e-29
MEG1031,3.8137535089342602e-28,1.4813768478516801e-28,1.6205992445224324e-28,4.572776865290855e-29,1.1978948480315473e-29
MEG1041,2.076841503708548e-28,1.0373239094680432e-28,7.491066369467935e-29,3.1968838570251204e-29,1.0234589074511827e-29
MEG1111,3.6840198566140437e-28,2.1030354812450492e-28,1.9329657245398282e-28,5.603756971860178e-29,1.4679837271454981e-29
MEG1121,1.00514462632323e-27,4.907917539362531e-28,4.037563366541629e-28,1.4294283300593972e-28,1.7796826669510008e-29
MEG1131,9.043071943308205e-28,4.966427699642185e-28,3.673217443138528e-28,1.3063588978856645e-28,1.6380743030315358e-29
MEG1141,3.748807534773531e-28,1.8625919279190544e-28,1.5370509308315431e-28,4.974834560694723e-29,1.2220363046990718e-29
MEG1211,4.837257070370966e-28,2.254611211151718e-28,1.4764532455632638e-28,5.749561578299328e-29,1.7272913462722643e-29
MEG1221,6.897676333370674e-28,2.9540760580350235e-28,2.900368822078122e-28,1.0096516587526437e-28,2.639892323381995e-29
MEG1231,1.0445779791804361e-27,4.441693476866979e-28,3.7622783352270948e-28,1.5428913275021643e-28,1.5825197691930326e-29
MEG1241,1.2833943247202371e-27,4.509737609547149e-28,4.161227652163952e-28,1.467791008789432e-28,1.4115198633622958e-29
MEG1311,1.391475161821175e-27,6.5464007831374025e-28,5.670757055495726e-28,2.11738397553837e-28,2.2716127701314419e-29
MEG1321,1.3165002192189235e-27,6.919372148032083e-28,6.359355828906644e-28,1.6386086406345302e-28,3.573729052328113e-29
MEG1331,1.574289945328193e-27,7.408307740928178e-28,7.222724976642542e-28,2.4513182719361818e-28,5.695200327786405e-29
MEG1341,1.3955524132451807e-27,7.088981733110769e-28,6.003151517587011e-28,2.03604762711987e-28,2.3476434729486934e-29
MEG1411,1.368580080419755e-27,4.993950810159815e-28,4.517689459913077e-28,1.6379926071742806e-28,3.995650718842388e-29
MEG1421,3.257445913966964e-27,1.08026507516384e-27,8.26549401447965e-28,3.81688514611214e-28,4.5217214604684696e-29
MEG1431,3.0419962895917135e-27,1.0940716086794925e-27,8.79521706955375e-28,4.292655533555459e-28,4.9589278056417324e-29
MEG1441,1.2078361639077015e-27,6.093328539038438e-28,4.797203391698914e-28,1.861813946496072e-28,3.8874889532589184e-29
MEG1511,4.0622164465750645e-28,1.8121716889694037e-28,2.0215259689677457e-28,7.521566430540155e-29,2.0707561061917054e-29
MEG1521,1.0122434124431576e-27,4.005276898177912e-28,3.781111429067064e-28,1.406472264462852e-28,3.898662003649759e-29
MEG1531,1.9438395288348492e-27,5.515453137997268e-28,4.332162149820957e-28,2.1276317675059263e-28,8.004488583300081e-29
MEG1541,1.9231158880875338e-27,4.906990181110555e-28,3.6662857744114024e-28,1.7419022398064532e-28,3.318293973612549e-29
MEG1611,1.880223035255167e-27,7.44223614488398e-28,7.9310594018429705e-28,2.115839483596688e-28,2.3662659475912067e-29
MEG1621,1.1660823910496371e-27,4.36850907761479e-28,3.7780012063083658e-28,1.1769905746178187e-28,1.385616018355452e-29
MEG1631,7.465600769563867e-28,3.040107410344239e-28,3.2758274967424947e-28,9.237673902938069e-29,1.366203682673283e-29
MEG1641,1.2564161646685134e-27,5.686929323056704e-28,6.783230635993995e-28,1.8848920425413859e-28,2.987538898762574e-29
MEG1711,1.5774579675609904e-27,5.628200155231551e-28,4.801115081210594e-28,2.830356464984303e-28,1.676756763603964e-28
MEG1721,1.2532492104973927e-27,5.432873322356857e-28,5.13971956357605e-28,2.088082324608283e-28,8.968219748077543e-29
MEG1731,8.830985315996911e-28,4.978850204518725e-28,4.922620879629075e-28,2.569116899250528e-28,1.5843574710323906e-28
MEG1741,1.2108462514430424e-27,5.402694418245359e-28,6.331773906268285e-28,3.918690043675064e-28,2.261539107654669e-28
MEG1811,4.525789233485974e-28,1.9343510185388626e-28,1.5214160038678328e-28,5.983159008623669e-29,1.2415619403996978e-29
MEG1821,5.327481291024941e-28,2.290835706551252e-28,2.17037941987005e-28,6.2282633561523e-29,1.4334923146888362e-29
MEG1831,7.775500067072886e-28,2.8973147204084547e-28,2.5990003002006243e-28,8.4443891047294e-29,1.0527714598758792e-29
MEG1841,2.3785029827709254e-28,1.3291193743105913e-28,1.2658794302715572e-28,4.519118963631541e-29,1.2674231329591467e-29
MEG1911,4.741391800832152e-28,2.5188407143704344e-28,3.7997251702049014e-28,7.791400005645584e-29,1.8604253704260785e-29
MEG1921,9.413132432969365e-28,5.835022048406518e-28,5.416708268004456e-28,1.545321630165789e-28,2.6473461984223076e-29
MEG1931,1.179546298205552e-27,6.181606045398084e-28,4.6118863825304385e-28,1.7922343844800927e-28,7.920068552834676e-29
MEG1941,8.827916736085136e-28,4.091930892041466e-28,5.627728015560282e-28,1.4424878825631754e-28,3.267840709261826e-29
MEG2011,7.586805151520038e-28,2.762123659608252e-28,2.3007153473801363e-28,8.288035659949007e-29,1.9066221905665524e-29
MEG2021,3.5260974545680925e-28,1.8551202018063446e-28,1.867705554253783e-28,5.611508576981344e-29,1.16133609835729e-29
MEG2031,7.11224888928158e-28,4.1857887137178215e-28,3.9481802378835065e-28,1.2281834614702886e-28,2.4297843995148613e-29
MEG2041,6.25170157011512e-28,4.019277223950306e-28,4.854625628276619e-28,1.1349871075671695e-28,2.085745043589268e-29
MEG2111,1.077406998847328e-27,7.222463741812107e-28,6.913103336889203e-28,2.3526581669196136e-28,6.793076645910692e-29
MEG2121,7.678572955950646e-28,4.1990620497716025e-28,6.189525966475467e-28,3.440562583355462e-28,2.702429606607904e-28
MEG2131,1.0961300328973202e-27,4.6480659216719485e-28,4.814384964680123e-28,2.7573253011420264e-28,2.4811939105912595e-28
MEG2141,8.557716565411844e-28,4.331198247519265e-28,4.370290957005658e-28,1.9663478354933317e-28,1.1004780392714075e-28
MEG2211,2.811057738511654e-28,1.6886676996587533e-28,1.3259801240577815e-28,4.4207906369765485e-29,1.0732429060003296e-29
MEG2221,5.448486317361063e-28,2.942674190990638e-28,2.2250023056021745e-28,7.247903827688896e-29,1.2140694002993149e-29
MEG2231,4.21851615960157e-28,1.6810389741976766e-28,2.0767213471869876e-28,4.4872379010126293e-29,8.49793535125668e-30
MEG2241,8.23106998531367e-28,3.254500352210624e-28,2.8896630149591676e-28,1.0006379348837771e-28,1.1989500067987909e-29
MEG2311,1.3303658499806389e-27,5.500006335118372e-28,4.883556225571821e-28,1.309248365391751e-28,2.2331784340848008e-29
MEG2321,2.3296774716339606e-27,1.0803474677110782e-27,1.0631853836845892e-27,2.7184925112391172e-28,3.2103249287318436e-29
MEG2331,1.3938308561587778e-27,6.975895665153727e-28,8.873076196912437e-28,3.4934789823829603e-28,1.727484362214246e-28
MEG2341,6.220577118647119e-28,2.898879175359291e-28,3.2536738908514973e-28,9.72967904696523e-29,3.769044960808048e-29
MEG2411,1.259235082404768e-27,6.034816298842077e-28,5.112374471370283e-28,1.731150580719897e-28,2.0922360258183102e-29
MEG2421,1.1162866407396767e-27,5.675670051170806e-28,6.8164133147290235e-28,2.0243938689315175e-28,2.9064610523729757e-29
MEG2431,1.9115162098677342e-27,8.11128126200948e-28,9.285545989930161e-28,2.5371593907171287e-28,2.527613505410139e-29
MEG2441,1.4564423335039422e-27,5.300414864054648e-28,6.31155797455091e-28,1.4950549100883597e-28,1.597396944489125e-29
MEG2511,1.4397670282936723e-27,9.129902406432619e-28,9.421255758834447e-28,2.610698647415527e-28,6.326255139321638e-29
MEG2521,1.0742756188036075e-27,6.723599508692468e-28,6.767550741620984e-28,2.1642266890737447e-28,5.519500852320313e-29
MEG2531,1.618208911423079e-27,6.136722273248444e-28,6.180475104762397e-28,2.9192016366753e-28,1.2363432324599464e-28
MEG2541,1.4757217269959836e-27,6.373147778028894e-28,6.198845564222955e-28,3.3837031521774315e-28,1.7128610723012137e-28
MEG2611,6.673993332419122e-28,4.049222415428165e-28,3.6101990766853703e-28,1.3949889545966847e-28,4.533078199936508e-29
MEG2621,2.348039151792952e-27,8.496991467921829e-28,7.411323459286237e-28,3.2390973798888283e-28,3.7601230332473413e-29
MEG2631,1.8834982339121367e-27,6.472878298520947e-28,6.462185403926536e-28,2.3287893455161328e-28,5.398677213222854e-29
MEG2641,6.743669757299061e-28,3.652567234918966e-28,3.9065737371595963e-28,1.3885106206769983e-28,4.0124700958889647e-29
