,delta (0.5-4 Hz),theta (4-8 Hz),alpha (8-12 Hz),beta (12-30 Hz),gamma (30-100 Hz)
MEG0112,0.213633953224116,0.1054796832154608,0.09781334972652884,0.23974093205614141,0.33002397658983657
MEG0113,0.3636630298763383,0.13918974411260526,0.098669170898948,0.20048732986613568,0.1904101444487891
MEG0122,0.4031031805325049,0.13268381779314872,0.07628306235101784,0.1687460562921191,0.21292825910035432
MEG0123,0.20400672927289057,0.1098144031545157,0.07966710980729307,0.19025697176992767,0.39793229766232047
MEG0132,0.3967826147425715,0.13645182077932283,0.09882925929199088,0.16030976421360488,0.20080379839660217
MEG0133,0.2330928255746248,0.10715827154427979,0.09730960505969537,0.1943012496718866,0.35736957064189945
MEG0142,0.17659079663683558,0.10542099930787285,0.10565418213935415,0.24268267661873016,0.35662749473859995
MEG0143,0.3419918223988339,0.13604117505339253,0.11046192821964054,0.2340583204025642,0.17292472237305875
MEG0212,0.18964452321261002,0.12345703094239367,0.12747759170749998,0.19484188613735096,0.34908566375887146
MEG0213,0.3228876793032867,0.13075845724970744,0.09613405532691947,0.17994770370070354,0.26274292671320226
MEG0222,0.30644249247387917,0.1270803718505506,0.08517285113875497,0.2134275162162113,0.2614323321062761
MEG0223,0.09892360992204352,0.07898109947840676,0.07633595025132191,0.21772560808155914,0.5110139184108287
MEG0232,0.2978507009503947,0.13800480331609308,0.10998416104554085,0.19283958397892917,0.253970784333797
MEG0233,0.20966493389028978,0.120675099712235,0.15141397563466907,0.18359231298548936,0.31937031807288546
MEG0242,0.28184650476095724,0.12823188158962104,0.14874064037924514,0.1873530101425192,0.24469921960721525
MEG0243,0.3143819278260789,0.12223837990142875,0.10116331454548046,0.18629246443406533,0.2703565104462379
MEG0312,0.22282902086770784,0.11110560334065475,0.07562008441564065,0.19233113314295952,0.3804494229160577
MEG0313,0.29560833433443906,0.11953416841111981,0.07327483127289014,0.1893229035682917,0.3113641831486768
MEG0322,0.3185009113009343,0.1286573228761835,0.0848665894871208,0.19482235760957947,0.2660857892391752
MEG0323,0.18202503004954257,0.10714511775392858,0.0838415520414161,0.21220052257025943,0.39611123350471983
MEG0332,0.20446667098369975,0.13042280210274523,0.09443734709067345,0.19574738391473373,0.3624739814556826
MEG0333,0.20063679827958528,0.12540201521972263,0.07892581121572911,0.21950373790019576,0.3642365447560303
MEG0342,0.22187188211929676,0.12010602229075538,0.08020291276939318,0.18979878071096762,0.3717326316768586
MEG0343,0.30393764058654893,0.13693891605514827,0.09128588155160836,0.1761756461109554,0.2828650377124386
MEG0412,0.15857679728595803,0.12550722969591588,0.08827401677723766,0.20318973549594305,0.4104394862106077
MEG0413,0.24757624092433508,0.12530794644771517,0.08903617477768873,0.2157187497995015,0.3108847549289152
MEG0422,0.16273251094381275,0.09883387052402368,0.08606573970581698,0.20734469690633014,0.42988596893762626
MEG0423,0.13869255779182843,0.10319736032545127,0.0873301623719002,0.19260043903382318,0.4630026331236683
MEG0432,0.18656255490425758,0.1075091550768102,0.09052076044469616,0.21818561981149007,0.38370023495305433
MEG0433,0.14651898675648867,0.10902652935816916,0.0915038740725202,0.22381032172252988,0.4145250529636187
MEG0442,0.15305164374302468,0.10700502811867599,0.100368637640021,0.21237536334761578,0.4104697029973918
MEG0443,0.23241093190185064,0.12338127575094146,0.08864288241186272,0.23067134823573823,0.3162040133366483
MEG0512,0.2244709683044608,0.12611195707933165,0.0878666346194126,0.20849148322660602,0.34129610583548753
MEG0513,0.2606341950931681,0.1127517667746514,0.0657105307265912,0.1987187950786469,0.35072698100779465
MEG0522,0.18186496920677445,0.1197294345942336,0.08833505228463993,0.20867920954157293,0.387997205193708
MEG0523,0.22069753557105753,0.11176753788178949,0.07618476502258478,0.20572018920740126,0.3729140856552417
MEG0532,0.21087021639400097,0.1341826630103843,0.06783020795598092,0.20046905731759315,0.37472826597570824
MEG0533,0.16426256102000128,0.11178149057975421,0.07962473764069067,0.2126410385550179,0.4148372299948352
MEG0542,0.24349298556924398,0.11997028766066048,0.08196278769278285,0.18292714613192362,0.35981421880138076
MEG0543,0.19086578632611584,0.1180744789609531,0.08081509576763071,0.20998334645902875,0.3852834559711037
MEG0612,0.16919858221144965,0.11020201524483109,0.07896831304560673,0.2109356691634076,0.41610934341813094
MEG0613,0.16497388795937132,0.10372852312518631,0.07247579796927467,0.19409839607780094,0.44840762732760275
MEG0622,0.13961067404720987,0.10763151302772837,0.07365949783556397,0.20914044201256157,0.45113917114026486
MEG0623,0.1570124120110717,0.1079903997767497,0.07901289097269446,0.2133617270982969,0.4270029637807573
MEG0632,0.20427882582656132,0.14079763434547515,0.08940887967929587,0.20162994554022082,0.3531794001929762
MEG0633,0.13716709390790902,0.10623743234760191,0.08688006878862693,0.2086650061632873,0.4426181902975509
MEG0642,0.17272473254521933,0.12255355462913836,0.08289948365614606,0.18936728872476405,0.4172025788963734
MEG0643,0.16926036117661858,0.12641174578998277,0.08009403159372122,0.20628179742066682,0.4028667741854902
MEG0712,0.1432300935312157,0.11793240158998732,0.07980983690709342,0.2114015258935673,0.43240607589357466
MEG0713,0.17725900189727362,0.12512479450462693,0.09302319534409141,0.19924984705239385,0.39213154416812157
MEG0722,0.1398747866774408,0.10691319903040017,0.07916088801521345,0.19964680948893354,0.4587887099559913
MEG0723,0.16390166283727098,0.12278339491729866,0.09841316685147465,0.19747865358477074,0.40255568008145
MEG0732,0.19989374785389785,0.13859505874633735,0.13841733390898125,0.20138826437072158,0.31060295428650225
MEG0733,0.12718540145033227,0.10232510031601856,0.09853846686935393,0.22276049835374578,0.4337151836148689
MEG0742,0.19713390090936303,0.12662510483033565,0.11569512755911397,0.20299930895160379,0.3454561000069608
MEG0743,0.12907562768210298,0.10512119683994665,0.09779886713716525,0.2026768492961758,0.4505291683277716
MEG0812,0.1890127109457244,0.12980377713230476,0.08543893333489683,0.20887313121083545,0.37302029114198837
MEG0813,0.16226756519206342,0.0876794487117199,0.07112710875062908,0.20625429962012654,0.45605680085347233
MEG0822,0.2013583210393777,0.1194796762732696,0.08070182364821325,0.19448288829791852,0.3897812321037045
MEG0823,0.1631249709034646,0.1178540138784146,0.08111017535405694,0.20665025653853997,0.4157757170739222
MEG0912,0.18581852988589015,0.12817965067697684,0.077951856222444,0.2065069995692355,0.3863031396583622
MEG0913,0.20324883701292942,0.12472487586999743,0.08022054551742439,0.2060659997902641,0.3726713324079559
MEG0922,0.1983861928987429,0.11765963361022751,0.07205233556312557,0.1980808843213123,0.40027408528558134
MEG0923,0.1938152691900259,0.13466756004450617,0.0708716723918929,0.20317975894896367,0.38299091406176095
MEG0932,0.2247419180727519,0.1468403667084248,0.08085655044185498,0.18409166764370433,0.3534601516800821
MEG0933,0.164474458553013,0.11834220357177068,0.07430041109580962,0.20231303293070663,0.425632546320597
MEG0942,0.20564005107335592,0.12944468182870023,0.07717908802187043,0.1931141599705518,0.38055355378158373
MEG0943,0.13295844117957178,0.10048795412795211,0.07571287713326132,0.208524399331223,0.465105797147602
MEG1012,0.1601309093209524,0.11382276929639072,0.07693887674476939,0.21449929365349354,0.41730296111795967
MEG1013,0.17441545436410844,0.11377436031844917,0.07685768983193872,0.20385268351598196,0.4178765141966954
