,delta (0.5-4 Hz),theta (4-8 Hz),alpha (8-12 Hz),beta (12-30 Hz),gamma (30-100 Hz)
MEG0111,0.32612478015784685,0.1777934560112369,0.17116688759916623,0.2144674385767653,0.10856429064977155
MEG0121,0.40334119916934635,0.13909650358553244,0.09925050920128578,0.14188742741350008,0.20927301552307032
MEG0131,0.3017060935040072,0.14898546051600797,0.13520481951282193,0.19382142866165786,0.2106101672989046
MEG0141,0.3494529127388789,0.17248362398322672,0.1551009055005333,0.21919249295618864,0.1052872787651024
MEG0211,0.37524690600601757,0.15339003987085395,0.12418544264163653,0.18993420290472673,0.15195397502915892
MEG0221,0.3492043573025701,0.16499525668534368,0.14050204886615578,0.19574477564340495,0.14865274654158112
MEG0231,0.37199472684558155,0.17265740687874673,0.13583470510467893,0.18461581901036944,0.13479970910848227
MEG0241,0.3159380175055717,0.18856775339285997,0.17016887655731974,0.1971026964921752,0.12415303784325168
MEG0311,0.356849219627956,0.13383003339679878,0.11198074352562837,0.15538911913115144,0.23623155663130538
MEG0321,0.2671243281719899,0.1582590218062901,0.1541753491613294,0.18025132227904792,0.2325291643416856
MEG0331,0.25799379221478136,0.19261800564180467,0.17255219848383893,0.1823495201432303,0.187509260561085
MEG0341,0.3466793414844182,0.1440235192334972,0.12007265820713484,0.16595520726177965,0.21681765128342714
MEG0411,0.33468874795741776,0.1680073102317408,0.13379062025671265,0.1956243670206614,0.16626612935966825
MEG0421,0.2702631418440903,0.17549392565601418,0.1360176553089902,0.18422284195755745,0.2254557148865561
MEG0431,0.24345034642513963,0.1722109884908639,0.14599393713877512,0.2142145146899847,0.21493964899279824
MEG0441,0.3557175705044681,0.15765195173616672,0.13364359417601465,0.20113124900022614,0.15151154904514658
MEG0511,0.37688221406341677,0.1548106345369076,0.15338419128682848,0.19204181379370663,0.1226964521948563
MEG0521,0.36469918526351236,0.1620400804446069,0.16204032855572506,0.20646128808254724,0.10496974920567174
MEG0531,0.2667474911001621,0.17131076866832842,0.16655831872165636,0.2104890304425966,0.18063434136598078
MEG0541,0.21092283664831138,0.1520322262189737,0.1392690599637917,0.19349254023162465,0.29431912245907843
MEG0611,0.26304539666269605,0.20594194899207094,0.14606022765319981,0.21442399837930276,0.16718463654151322
MEG0621,0.2022276911004367,0.1548804220416356,0.15060763491922477,0.21561278500254827,0.2674034141421115
MEG0631,0.24554092310619005,0.1837662272043211,0.1082729665548384,0.22024862290051797,0.23547903443198134
MEG0641,0.2377458044277327,0.19016339095186205,0.12916038507061328,0.20804179739034914,0.22725116887189709
MEG0711,0.3501652173215592,0.18411035480210808,0.1199964036695271,0.21075671574282878,0.1334867154184636
MEG0721,0.357280336995358,0.16308072095541037,0.1054505756606402,0.20079347577150866,0.17288955539132603
MEG0731,0.39159253629113483,0.1778119552280614,0.13589702866079836,0.2111702732213069,0.08584165523936428
MEG0741,0.40136334266732576,0.1850510362915792,0.140105552230579,0.20121380497698999,0.07515313903701273
MEG0811,0.3317931224607571,0.1724231318565504,0.16331622954504624,0.20226380550088047,0.12942685545246047
MEG0821,0.24253649371779287,0.16508933323351255,0.15739144915532055,0.2021991673103408,0.2288215180004579
MEG0911,0.32940575874330447,0.17570502417155986,0.14943795934752593,0.19386767128446894,0.15040764683677013
MEG0921,0.32449016990750457,0.18246684072932245,0.13908333926668234,0.1832807035202652,0.1655605231745085
MEG0931,0.36644011941196586,0.17089071836250896,0.12551939672658646,0.2082593094324262,0.12768634322235495
MEG0941,0.31229192114315263,0.14660624689547835,0.1247687058813959,0.18945379680233979,0.22385951448776362
MEG1011,0.35250230853898623,0.16572101851828075,0.1527453988552219,0.18208668970970915,0.14481943740777448
MEG1021,0.3724954110371249,0.13249798506765198,0.1436382449813912,0.19769495519673716,0.1497428966325349
MEG1031,0.31656517888032665,0.15370432492908692,0.1681497272089463,0.18029519039470954,0.17649303706347655
MEG1041,0.2710441271885671,0.16922364631071918,0.12220537425451272,0.19817876413369848,0.23708573007324632
MEG1111,0.26222364224675293,0.18711409178351912,0.17198241742541376,0.18946229113684698,0.18546821055400384
MEG1121,0.32318294389643604,0.19725460362035335,0.1622741122017044,0.21831112733151842,0.10156891321787405
MEG1131,0.3127827362885815,0.21472416331695227,0.15881204557069872,0.21462628383161328,0.10056775226116718
MEG1141,0.29770517378351663,0.18489321218994492,0.15257785650262912,0.18765731169352642,0.17225653373156494
MEG1211,0.31440019696652066,0.18317462731380757,0.11995361846185432,0.17750556803903011,0.19927260399140462
MEG1221,0.291114648094254,0.15584502130050745,0.15301164627316904,0.20240741553636227,0.1977633532604062
MEG1231,0.33846216968641324,0.17989863385329713,0.15238078363764615,0.23746423860626018,0.09101579551337116
MEG1241,0.3869829485093875,0.1699781122928315,0.1568423004562755,0.2102275105025438,0.0755469727305036
MEG1311,0.32268494495297384,0.1897648835483018,0.16438201508205316,0.23323647910532352,0.09350523025411418
MEG1321,0.29873277234555745,0.19626309157573016,0.18037862521476436,0.17661630059649108,0.14394013764645228
MEG1331,0.2813335894737722,0.16548776599782905,0.16134219346718742,0.20807992260617125,0.18065260477868567
MEG1341,0.31609291221072816,0.20070697984543936,0.1699643836041788,0.21905347547697013,0.09438415805082452
MEG1411,0.33764576364647875,0.15400873860375366,0.13932128720795722,0.19195376616203094,0.17497538796710238
