,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
MEG0112,4.2985680192344174e-12,4.524219078941598e-12,4.929120860402087e-12,5.878065400208862e-12,4.248878935598294e-12,3.9855866154486956e-12,4.150631518397486e-12,4.50320881146078e-12,4.613577565802528e-12,3.6780599331106975e-12,4.474657138283822e-12,7.069140724191506e-12,4.381970045717035e-12,7.264056563569664e-12,3.729441200519974e-12,4.129282266758659e-12,4.6473249106178996e-12,5.6342066495926654e-12,6.990251884277233e-12,4.965252034583474e-12,5.419036359604965e-12,5.499414340228407e-12,4.171676113670029e-12,3.908994687029972e-12,4.75095352770383e-12,4.529729714194521e-12,4.059948544257895e-12,3.391127922558475e-12,4.21407843021244e-12,4.222036320151235e-12,4.2927442772322606e-12,4.334265397951993e-12,3.687175938866942e-12,4.427877622445359e-12,3.854459634403192e-12,4.115685363672158e-12,4.035727173555212e-12
MEG0113,5.986108046998377e-12,6.038682967832377e-12,6.504573101720893e-12,7.716663840520543e-12,6.216829755952971e-12,6.530338241602748e-12,6.4796055029958534e-12,7.674867806003624e-12,5.775602599757644e-12,5.768269538784317e-12,6.3604556086997574e-12,6.900042954340569e-12,5.714658500481278e-12,6.714608097236892e-12,6.584909585853666e-12,6.482815340086012e-12,6.163260130712609e-12,6.1913231058310325e-12,7.110631056421379e-12,7.865131709943503e-12,7.195480357603613e-12,6.361221866916099e-12,5.5545945410046e-12,5.751930989576531e-12,7.200760628885927e-12,8.268786265834272e-12,5.228439835798117e-12,6.380533204219357e-12,6.116973134808196e-12,6.890827917718113e-12,6.5852476344510715e-12,6.836545860018968e-12,5.456951619513734e-12,4.699559206786428e-12,6.455081812203163e-12,6.630364026423355e-12,6.535161294099273e-12
MEG0122,4.1033123446286364e-12,4.372424973551305e-12,4.541781194024127e-12,7.031882474579392e-12,4.693574565953392e-12,5.986956950967385e-12,4.8913165242828726e-12,6.0947985326519306e-12,5.4745575532300884e-12,4.7501054808658585e-12,5.44024332999952e-12,8.289594646808488e-12,4.597353638578071e-12,6.84201558231189e-12,5.352135550878854e-12,5.9204721050581344e-12,5.449155024523069e-12,6.710617973593171e-12,7.914174812698768e-12,6.502383010759114e-12,8.047944112257477e-12,6.049217239206459e-12,5.091497848819242e-12,5.674393983873221e-12,6.563100078512134e-12,5.565723119534837e-12,5.0078675691766145e-12,6.06677320950235e-12,5.491452193684212e-12,5.3848168808606646e-12,5.043729984902856e-12,5.2944837247834e-12,5.600447703784652e-12,4.956959729491499e-12,5.754237423106038e-12,5.575122659303745e-12,5.272800469515124e-12
MEG0123,4.416137494028965e-12,3.991563818182112e-12,4.029345469191633e-12,5.0386363266999554e-12,4.606208643609777e-12,4.29286552774023e-12,4.227695672412701e-12,4.575499087790835e-12,4.230750803807397e-12,4.426841377363134e-12,4.230003195257064e-12,4.956844968219931e-12,3.811688813011025e-12,7.1661750581150676e-12,3.657368030182449e-12,4.6302508515874925e-12,4.707223279154193e-12,4.68580330449978e-12,5.348604913548144e-12,4.9962012471782e-12,4.025779676891158e-12,4.836462018083347e-12,4.07148738577663e-12,4.573567472393295e-12,4.338590956773925e-12,4.6177782471005295e-12,4.230528689457134e-12,4.507829522815186e-12,4.314164712689189e-12,4.332106650755434e-12,3.843799941089864e-12,4.461957623025952e-12,5.204934987543852e-12,4.2277396830302526e-12,4.6903212060802186e-12,4.134307856369865e-12,4.052794044354708e-12
MEG0132,5.460101245713156e-12,5.618849881187395e-12,4.916558965386947e-12,6.654558357424577e-12,5.245814596811048e-12,6.873577949729365e-12,5.8867299412805295e-12,7.719595196094875e-12,5.185027837665483e-12,4.5357634734669266e-12,5.191361983463847e-12,6.439453640117284e-12,4.9441342101521e-12,6.827331413324627e-12,5.264377463459815e-12,5.262812704507534e-12,5.576547842752484e-12,6.2140915970506725e-12,5.933952464911172e-12,5.929811316442023e-12,6.3472532208708835e-12,5.287943276120755e-12,4.997804455640665e-12,5.513535646246051e-12,6.330217166924738e-12,5.537314445882475e-12,5.2488303314637635e-12,6.001205902013357e-12,6.603022456352241e-12,5.519081232617683e-12,6.1758330317335685e-12,6.007604787646396e-12,5.109166974565446e-12,5.1656779732511846e-12,5.6063919136480804e-12,5.882787180156497e-12,6.2010159029394164e-12
MEG0133,4.414242201326948e-12,4.240771948376103e-12,3.97487193531836e-12,5.282924718531755e-12,4.5160760123212745e-12,4.426845803751183e-12,4.5792225076552785e-12,4.049527924904296e-12,5.036946831589214e-12,3.8948854574297225e-12,3.886438405808131e-12,5.2011664774661826e-12,4.372059218048773e-12,5.289031435180299e-12,4.018760596391348e-12,4.496753082115324e-12,3.983679293782939e-12,4.005526441898998e-12,5.8601108128256355e-12,5.355014438764191e-12,4.67769520321709e-12,4.697487976692562e-12,3.710037145044579e-12,3.737014080808018e-12,3.784315962580522e-12,5.008438401593111e-12,4.209433742538895e-12,4.0133501660313445e-12,3.940429339126324e-12,4.6007574627852315e-12,3.752328164047378e-12,4.575998810133406e-12,3.711081342957887e-12,4.1902704409348945e-12,4.374416256820797e-12,3.683260096636871e-12,3.824330750284992e-12
MEG0142,4.043611778568541e-12,3.5962061001577712e-12,3.985902829349331e-12,5.171683409873506e-12,3.498089072938489e-12,3.660678575219685e-12,4.2109346906450025e-12,4.451057741563533e-12,4.213989378835785e-12,4.000665919895134e-12,3.871535952805536e-12,6.057746074852119e-12,4.323527853913868e-12,5.1438966684718914e-12,4.1997550921031e-12,4.667062895891459e-12,4.075819337183809e-12,4.205506660987351e-12,5.939274339999874e-12,4.469652493133553e-12,4.568562176487607e-12,4.777107792563e-12,3.814893794630604e-12,4.473879922959312e-12,4.228267957244583e-12,4.7037603213459344e-12,4.175517889837995e-12,3.610798593773493e-12,4.016762709875887e-12,4.711630910669789e-12,4.2908057584770846e-12,4.330452793635071e-12,3.924082728339236e-12,4.2698698020165445e-12,4.028069668124852e-12,4.263345481374911e-12,4.215190989641023e-12
MEG0143,5.668053272468165e-12,6.0428981891717035e-12,6.545769930963382e-12,6.553430176295458e-12,5.945241156287742e-12,6.90711051271578e-12,6.884813852671756e-12,7.560605401435328e-12,5.867267986198471e-12,6.1159424077929445e-12,6.691435133377991e-12,7.157290365712233e-12,5.179048668637866e-12,6.747666451667271e-12,6.14286483511229e-12,7.161657522839657e-12,6.551012958819648e-12,5.7180547770701655e-12,6.343405344489495e-12,6.5919557576593836e-12,6.118124015915749e-12,5.7682906696132175e-12,5.627357031942499e-12,5.370118493965002e-12,6.7798533994861334e-12,6.72546532867431e-12,4.9009823504066034e-12,5.861854520264395e-12,6.1710277394927844e-12,6.610421307764918e-12,5.938736535802687e-12,6.465443428089252e-12,5.8009170462834e-12,5.266521560831099e-12,6.0474652089896e-12,6.204045195293998e-12,6.268420073779504e-12
MEG0212,4.354378336106336e-12,4.149590077500982e-12,3.837058419740826e-12,4.552186605092411e-12,4.178022694800311e-12,4.3695177480679085e-12,4.720661318483306e-12,5.346238467904316e-12,5.374734420970944e-12,4.311054036993027e-12,4.449389072135701e-12,4.366047618260831e-12,3.939297599783024e-12,4.8563203803341455e-12,4.494550874215633e-12,3.989872567076783e-12,4.500507736275897e-12,4.209070318914282e-12,4.759889036963116e-12,4.7409275904119e-12,3.866353112387644e-12,4.732809951699925e-12,4.074850337525529e-12,3.855494056505012e-12,4.166394135733792e-12,4.4050515039676095e-12,4.0298869372964604e-12,3.8687332904469195e-12,3.6365931806910577e-12,5.362297790914591e-12,4.057867091228555e-12,4.2942281938505125e-12,3.988051806382157e-12,4.555007357224696e-12,4.199436786268066e-12,4.4382915159636485e-12,4.331187753672656e-12
MEG0213,4.67308872413275e-12,4.3141420447646535e-12,3.965390781190917e-12,6.669908215568982e-12,5.313048932497843e-12,4.188539627025241e-12,5.05608623909963e-12,4.180329478552584e-12,5.2579189491567335e-12,4.0331940896487685e-12,4.7272960131071275e-12,7.2432909483061406e-12,5.01975513175012e-12,6.6683900265483416e-12,4.554042044534344e-12,4.615899870105698e-12,4.709288876147732e-12,5.00433295332628e-12,5.437760520418392e-12,4.6689609371840276e-12,6.824704687493627e-12,5.093092347339156e-12,3.8752008528543975e-12,4.982757367663597e-12,4.093361611933305e-12,4.716229986016878e-12,4.900548823745835e-12,4.002620109302444e-12,3.858878355434195e-12,4.642167822218273e-12,4.8549241170017334e-12,5.248223830995838e-12,4.403055125744224e-12,4.547410586006154e-12,5.559685801015535e-12,4.00907377185396e-12,5.312524647770751e-12
MEG0222,4.08685802821162e-12,4.538141148745649e-12,3.8432683292376886e-12,6.607990534441485e-12,4.590978127407392e-12,4.7988472003541326e-12,4.4165813825966e-12,4.6099131617140285e-12,5.4270642920353826e-12,4.297993503627442e-12,4.081811046787624e-12,5.310723055293103e-12,4.773987600257945e-12,4.9104304754824785e-12,4.591851201520557e-12,3.700902332092214e-12,4.076313221768978e-12,4.92827294462281e-12,5.004681082078881e-12,4.619857074106041e-12,6.177245073749678e-12,4.730846753885607e-12,4.035522099677897e-12,5.176487001681867e-12,4.685458548115377e-12,3.772181298159081e-12,4.067415895082112e-12,4.300601128067675e-12,3.5992758250874126e-12,4.588250168021283e-12,4.120927707355068e-12,4.633217488404151e-12,4.574843087627718e-12,5.115912465290844e-12,5.673042919370447e-12,4.2620580546277554e-12,5.492832240506431e-12
MEG0223,6.316377391034669e-12,6.770062977967143e-12,6.112082204784286e-12,6.133183960789629e-12,6.408315386074518e-12,6.506587088334775e-12,6.472343136748397e-12,7.077983145516571e-12,6.433942387943519e-12,6.885170045092099e-12,6.032757389613374e-12,6.312847302104918e-12,6.601829194801851e-12,6.875949245950472e-12,6.147130135608215e-12,6.015943253946062e-12,7.342689177035252e-12,6.232317048066434e-12,6.7149524978901914e-12,7.189025802590007e-12,6.129877055651693e-12,6.280396903039193e-12,6.171229972452996e-12,6.313434526889277e-12,6.8009652119991126e-12,6.421725212236882e-12,6.553379712577049e-12,5.953592168506691e-12,6.355935181442088e-12,6.91347803995286e-12,6.127607874458197e-12,6.368964530281447e-12,6.484602992158428e-12,6.705760910926765e-12,6.376563887893205e-12,6.387063787720238e-12,6.646376880307077e-12
MEG0232,4.9541216170466205e-12,5.508342537123195e-12,4.2192467748483295e-12,5.880683679372338e-12,5.074884947478934e-12,4.288516823369034e-12,4.304886107310896e-12,5.738732804787528e-12,5.671096072109063e-12,3.952615493622716e-12,4.739243778401344e-12,6.159484246709712e-12,5.040309747112163e-12,7.018922741728314e-12,4.549782210144151e-12,4.324544857382848e-12,4.716668379331272e-12,5.379868357699887e-12,4.43071764137344e-12,3.929896148281949e-12,6.544901925678394e-12,5.035005725670361e-12,4.9648408339014135e-12,5.224365874247372e-12,5.022229409602706e-12,4.3811658479814794e-12,4.3489410225116025e-12,3.912954729532149e-12,3.831086834116521e-12,4.39532186372549e-12,3.4532408526473375e-12,4.3134550521129004e-12,4.413890267455972e-12,4.589068813006249e-12,4.895822054626677e-12,4.15511143604807e-12,5.534701107742613e-12
