,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
MEG0111,1.3252828084579748e-13,1.1630836870245608e-13,1.2711437299123482e-13,1.5765947270804795e-13,1.6460744851721136e-13,1.4261713574265872e-13,1.2113399057433606e-13,1.4879227914313182e-13,1.3888243185799439e-13,1.4694089872496701e-13,1.3127164494444557e-13,1.6486818781591054e-13,1.153049846318798e-13,1.2123424195987264e-13,1.3139165551777237e-13,1.410979764339802e-13,1.380087652106932e-13,1.513942249983189e-13,1.4787305719300042e-13,1.7882142887944792e-13,1.423932853310327e-13,1.5319780892157405e-13,1.2139783774988186e-13,1.326994219970073e-13,1.5524797013256912e-13,1.6532858189986124e-13,1.0873629255813723e-13,1.566357715932765e-13,1.2519208581376e-13,1.3432975121878763e-13,1.4037102998945586e-13,1.2978423960861344e-13,1.2667235838509826e-13,1.017401132877425e-13,1.0994266263791006e-13,1.3274622859834924e-13,1.3960017633597942e-13
MEG0121,8.536337345474854e-14,9.043085766992719e-14,7.56259394270918e-14,1.4511991037278544e-13,8.870209937800489e-14,7.407725693803968e-14,8.78677452526762e-14,1.0541892165380271e-13,1.0752604379055514e-13,8.765648418402034e-14,7.593628766122265e-14,1.3539819044568714e-13,1.0187864374862081e-13,1.3760189190931195e-13,7.749942449209417e-14,8.399678662397021e-14,7.551030746788363e-14,8.607865779760534e-14,1.6787155359918003e-13,1.4477197090979584e-13,1.4216149356096538e-13,1.359293544488262e-13,6.991541168736748e-14,7.774182534525623e-14,9.77062223620876e-14,1.3003642061881926e-13,8.20545686787114e-14,1.0177402107784194e-13,1.0261594918102612e-13,1.1435735520040044e-13,1.0283511228660779e-13,9.2479545664525e-14,9.497375700537894e-14,8.474497295662467e-14,8.130401272089322e-14,1.0757181986395021e-13,9.249071322347659e-14
MEG0131,7.68414595058576e-14,7.206944438788186e-14,7.99833901003212e-14,9.71482297744781e-14,9.026858097776488e-14,6.608875436374902e-14,9.047839293853144e-14,9.422122592578097e-14,9.093687327395852e-14,7.245632589037783e-14,6.793869031792227e-14,9.605741238584117e-14,8.125158835416096e-14,9.333841500661749e-14,7.461179654514782e-14,8.422408417895277e-14,7.64800715134172e-14,7.927017465538952e-14,8.137797901416344e-14,9.057764560839473e-14,9.365781665455042e-14,9.127063381702872e-14,5.751052781962127e-14,9.097680753136799e-14,7.58347106977904e-14,8.484301692274283e-14,7.640682340924441e-14,6.5457641345786e-14,6.808722021756929e-14,8.685387511827552e-14,8.045105399230854e-14,9.6250593066258e-14,9.514221252006971e-14,7.19592813181835e-14,6.861955953497259e-14,7.664403304226597e-14,8.03990261386952e-14
MEG0141,1.2027380526346323e-13,1.165961529235508e-13,1.146335164504889e-13,1.5933363387075036e-13,1.2557848328010568e-13,1.3168619723469812e-13,1.2141428178516597e-13,1.4233952277911657e-13,1.1576530551257188e-13,1.1349403892192121e-13,1.207197913598702e-13,1.4148205192046382e-13,1.1595756548612878e-13,1.442321207954412e-13,1.2208673556826455e-13,1.2007676169492214e-13,1.195826436295175e-13,1.215578135705707e-13,1.3379565867691516e-13,1.6002890056038252e-13,1.3167327074280495e-13,1.3896599379826316e-13,1.0913515635407344e-13,1.3424719060307204e-13,1.3270337991148887e-13,1.6968641390514992e-13,1.1259490953446641e-13,1.3846164796240835e-13,1.3218694933106362e-13,1.364738971555544e-13,1.2532501007102508e-13,1.3145135986517334e-13,1.1891218213295817e-13,1.105494297917819e-13,1.0978446609728563e-13,1.1107422940228623e-13,1.2755692709168095e-13
MEG0211,1.0678165118562903e-13,9.905669776048823e-14,1.1296894148969505e-13,9.712960470709602e-14,1.0153318450771834e-13,1.1467087712612747e-13,1.0876935172545037e-13,1.5721593071872988e-13,1.1144898924655128e-13,9.979761649654351e-14,1.0385183699191501e-13,1.125127481276359e-13,9.384117849683955e-14,8.77734343430835e-14,1.0056963361496754e-13,1.0036763843554486e-13,1.2183811707845056e-13,1.0799917705730553e-13,8.903332137075849e-14,1.0871797529052636e-13,1.0281162588891929e-13,9.961414423988937e-14,7.335401642179159e-14,1.1087522355267123e-13,1.332860522864068e-13,1.0788045273971122e-13,1.0735698550189056e-13,1.1718056949819063e-13,1.2789998045721852e-13,1.2852943805236456e-13,1.142330801963192e-13,1.1310350444654739e-13,1.1314184523439712e-13,9.682207108596868e-14,1.0476492791202266e-13,1.2276438945336001e-13,1.1089091294795565e-13
MEG0221,8.878269870014361e-14,8.583636314935422e-14,8.980550546461924e-14,7.982587037261092e-14,8.371668335230724e-14,1.0360406000891462e-13,8.635031195608824e-14,9.76623046981122e-14,1.0275041606421135e-13,8.903219775386777e-14,7.891613166389904e-14,1.0023781907221338e-13,1.0234123514948795e-13,7.820525472261224e-14,8.954900751844064e-14,7.372172447569233e-14,1.0341025963537648e-13,7.927787808882248e-14,8.692316567802098e-14,9.46197887527601e-14,9.170044081020565e-14,9.933343794151061e-14,7.661505765722181e-14,9.23038078537957e-14,1.0006748998521438e-13,9.101566301895296e-14,8.732613136945051e-14,9.435357487592141e-14,9.386114843321512e-14,9.898160658196715e-14,9.721922104620886e-14,1.0454140772153117e-13,7.472229795811243e-14,8.158258475358399e-14,8.699183595616636e-14,9.57073557656361e-14,8.801103402541426e-14
MEG0231,1.126011150533955e-13,9.42233002270727e-14,1.0036710895783503e-13,9.406321373615472e-14,1.0609891554523617e-13,1.0268939637172137e-13,1.1181973663159596e-13,1.32964706994879e-13,1.0846317683908025e-13,9.619270697234044e-14,1.0757748776765192e-13,1.2514007673574746e-13,1.179911807732343e-13,1.015155035837078e-13,9.774736860709594e-14,7.74637455691252e-14,1.1915226019711635e-13,9.394227186387247e-14,1.0683486199021562e-13,1.0625479954864892e-13,1.0733705350147141e-13,1.027231008657232e-13,9.394322278517096e-14,8.031193989042818e-14,9.295827667101012e-14,8.290185084017839e-14,1.0911111772095495e-13,1.1307860208447306e-13,1.1028803855991758e-13,9.82590596762958e-14,1.1335406256174912e-13,1.0212661382168994e-13,1.1242633178150413e-13,9.608150982473064e-14,9.769907987370818e-14,9.51665493891573e-14,1.0148785989342341e-13
MEG0241,1.5001397064422758e-13,9.996268464604603e-14,1.1096310719590375e-13,1.225987554834161e-13,1.307062381215543e-13,1.2800369183244234e-13,1.3394982848564896e-13,2.0054947883099536e-13,1.3203787579704183e-13,1.095587510062747e-13,1.2787277543298172e-13,1.335794617280117e-13,1.217433782581702e-13,1.2212349546103545e-13,1.167719071552736e-13,1.2161154580716722e-13,1.2656174203915925e-13,1.1371797507051628e-13,1.1576218097274687e-13,1.2188197254758888e-13,1.1585025719730532e-13,1.2310554105455727e-13,1.13078172699965e-13,1.1522243288838895e-13,1.154565138299352e-13,9.510113078466543e-14,1.3237956785380596e-13,1.0961428401256723e-13,1.1944811977377387e-13,1.2523007333524583e-13,1.317869242231166e-13,1.2901477110030878e-13,1.2236015438869606e-13,1.241480568907739e-13,1.0406902415696404e-13,1.169262165741535e-13,1.322325243741184e-13
MEG0311,1.115910068339474e-13,8.863800377916735e-14,1.1413847516336535e-13,1.1264852488053769e-13,1.215948964464616e-13,1.2556828357552146e-13,9.542093375620234e-14,1.2397463260316083e-13,1.5008984442496964e-13,1.1676575466358155e-13,1.037238147021733e-13,1.3735268081578738e-13,1.177488812377534e-13,2.5072287999314083e-13,9.419499887525397e-14,9.928336891869969e-14,1.2466266940292298e-13,1.0475434776852498e-13,1.0528353263155475e-13,1.8309188165386705e-13,1.210522592715655e-13,1.1116609862428372e-13,9.146958716286313e-14,1.174642549935124e-13,1.445162134217971e-13,1.2819912837233054e-13,9.682103715999064e-14,1.3144699369226969e-13,1.0658347027216876e-13,1.505913762096411e-13,9.89646133894736e-14,1.0091122873445375e-13,1.4296555293860298e-13,8.705683308903467e-14,1.0659565353519676e-13,1.08118071457864e-13,1.0986423988750146e-13
MEG0321,8.183729196609273e-14,7.651738800080893e-14,8.604699131527413e-14,8.830505378577905e-14,8.095773868207795e-14,1.0539317696684699e-13,8.729807455955254e-14,8.65655093044979e-14,1.0428895422189615e-13,9.012530318791657e-14,7.35071105032991e-14,8.746924585536939e-14,8.38639980852206e-14,9.359452600007172e-14,8.384246300635755e-14,7.029270809053186e-14,8.559359475872853e-14,8.339936820042909e-14,7.309603877276213e-14,1.1377654865171254e-13,7.57126675862121e-14,1.0787735185511522e-13,6.796783136819204e-14,9.75377501465375e-14,9.981873245396881e-14,9.919684129086449e-14,6.932613183811567e-14,9.778395211451588e-14,7.763134275481273e-14,1.0418171894674909e-13,7.573471560213662e-14,8.371659765609947e-14,7.833241127827118e-14,7.412962574452659e-14,7.729119084459879e-14,8.044156407825243e-14,7.423743413429487e-14
